   #Energy      xx(%)           yy(%)
   1.194      0.9910E+02      0.9581E+02
   1.202      0.9910E+02      0.9583E+02
   1.209      0.9909E+02      0.9585E+02
   1.217      0.9909E+02      0.9587E+02
   1.225      0.9908E+02      0.9589E+02
   1.233      0.9908E+02      0.9592E+02
   1.241      0.9908E+02      0.9594E+02
   1.249      0.9907E+02      0.9596E+02
   1.257      0.9907E+02      0.9598E+02
   1.265      0.9906E+02      0.9600E+02
   1.273      0.9906E+02      0.9603E+02
   1.280      0.9905E+02      0.9605E+02
   1.288      0.9905E+02      0.9607E+02
   1.296      0.9904E+02      0.9609E+02
   1.304      0.9904E+02      0.9612E+02
   1.312      0.9903E+02      0.9614E+02
   1.320      0.9903E+02      0.9616E+02
   1.328      0.9902E+02      0.9618E+02
   1.336      0.9901E+02      0.9620E+02
   1.344      0.9901E+02      0.9623E+02
   1.352      0.9900E+02      0.9625E+02
   1.360      0.9900E+02      0.9627E+02
   1.367      0.9899E+02      0.9629E+02
   1.375      0.9899E+02      0.9631E+02
   1.383      0.9898E+02      0.9633E+02
   1.391      0.9898E+02      0.9635E+02
   1.399      0.9897E+02      0.9637E+02
   1.407      0.9896E+02      0.9639E+02
   1.415      0.9896E+02      0.9641E+02
   1.423      0.9895E+02      0.9643E+02
   1.431      0.9894E+02      0.9645E+02
   1.439      0.9894E+02      0.9647E+02
   1.446      0.9893E+02      0.9648E+02
   1.454      0.9893E+02      0.9650E+02
   1.462      0.9892E+02      0.9652E+02
   1.470      0.9891E+02      0.9654E+02
   1.478      0.9891E+02      0.9656E+02
   1.486      0.9890E+02      0.9657E+02
   1.494      0.9889E+02      0.9659E+02
   1.502      0.9888E+02      0.9660E+02
   1.510      0.9888E+02      0.9662E+02
   1.518      0.9887E+02      0.9664E+02
   1.526      0.9886E+02      0.9665E+02
   1.534      0.9885E+02      0.9667E+02
   1.541      0.9885E+02      0.9668E+02
   1.549      0.9884E+02      0.9670E+02
   1.557      0.9883E+02      0.9671E+02
   1.565      0.9882E+02      0.9672E+02
   1.573      0.9882E+02      0.9674E+02
   1.581      0.9881E+02      0.9675E+02
   1.589      0.9880E+02      0.9676E+02
   1.597      0.9879E+02      0.9678E+02
   1.605      0.9878E+02      0.9679E+02
   1.613      0.9877E+02      0.9680E+02
   1.620      0.9877E+02      0.9681E+02
   1.628      0.9876E+02      0.9682E+02
   1.636      0.9875E+02      0.9683E+02
   1.644      0.9874E+02      0.9685E+02
   1.652      0.9873E+02      0.9686E+02
   1.660      0.9872E+02      0.9687E+02
   1.668      0.9871E+02      0.9688E+02
   1.676      0.9870E+02      0.9689E+02
   1.684      0.9869E+02      0.9690E+02
   1.692      0.9868E+02      0.9690E+02
   1.700      0.9867E+02      0.9691E+02
   1.707      0.9866E+02      0.9692E+02
   1.715      0.9865E+02      0.9693E+02
   1.723      0.9864E+02      0.9694E+02
   1.731      0.9863E+02      0.9695E+02
   1.739      0.9862E+02      0.9695E+02
   1.747      0.9861E+02      0.9696E+02
   1.755      0.9860E+02      0.9697E+02
   1.763      0.9859E+02      0.9697E+02
   1.771      0.9858E+02      0.9698E+02
   1.778      0.9857E+02      0.9699E+02
   1.786      0.9856E+02      0.9699E+02
   1.794      0.9855E+02      0.9700E+02
   1.802      0.9854E+02      0.9700E+02
   1.810      0.9852E+02      0.9701E+02
   1.818      0.9851E+02      0.9701E+02
   1.826      0.9850E+02      0.9702E+02
   1.834      0.9849E+02      0.9702E+02
   1.842      0.9848E+02      0.9702E+02
   1.850      0.9846E+02      0.9702E+02
   1.858      0.9845E+02      0.9703E+02
   1.865      0.9844E+02      0.9703E+02
   1.873      0.9842E+02      0.9703E+02
   1.881      0.9841E+02      0.9703E+02
   1.889      0.9840E+02      0.9703E+02
   1.897      0.9838E+02      0.9703E+02
   1.905      0.9837E+02      0.9703E+02
   1.913      0.9835E+02      0.9703E+02
   1.921      0.9834E+02      0.9703E+02
   1.929      0.9833E+02      0.9703E+02
   1.937      0.9831E+02      0.9703E+02
   1.944      0.9829E+02      0.9703E+02
   1.952      0.9828E+02      0.9703E+02
   1.960      0.9826E+02      0.9702E+02
   1.968      0.9825E+02      0.9702E+02
   1.976      0.9823E+02      0.9701E+02
   1.984      0.9821E+02      0.9701E+02
   1.992      0.9820E+02      0.9700E+02
   2.000      0.9818E+02      0.9700E+02
   2.008      0.9816E+02      0.9699E+02
   2.016      0.9814E+02      0.9698E+02
   2.024      0.9812E+02      0.9698E+02
   2.031      0.9810E+02      0.9697E+02
   2.039      0.9808E+02      0.9696E+02
   2.047      0.9806E+02      0.9695E+02
   2.055      0.9804E+02      0.9693E+02
   2.063      0.9802E+02      0.9692E+02
   2.071      0.9799E+02      0.9691E+02
   2.079      0.9797E+02      0.9689E+02
   2.087      0.9795E+02      0.9688E+02
   2.095      0.9792E+02      0.9686E+02
   2.103      0.9789E+02      0.9685E+02
   2.111      0.9787E+02      0.9683E+02
   2.118      0.9784E+02      0.9681E+02
   2.126      0.9781E+02      0.9679E+02
   2.134      0.9778E+02      0.9677E+02
   2.142      0.9775E+02      0.9674E+02
   2.150      0.9772E+02      0.9672E+02
   2.158      0.9769E+02      0.9670E+02
   2.166      0.9765E+02      0.9667E+02
   2.174      0.9762E+02      0.9664E+02
   2.182      0.9758E+02      0.9661E+02
   2.189      0.9754E+02      0.9658E+02
   2.197      0.9750E+02      0.9655E+02
   2.205      0.9746E+02      0.9652E+02
   2.213      0.9742E+02      0.9649E+02
   2.221      0.9738E+02      0.9645E+02
   2.229      0.9733E+02      0.9642E+02
   2.237      0.9729E+02      0.9638E+02
   2.245      0.9724E+02      0.9634E+02
   2.253      0.9719E+02      0.9630E+02
   2.261      0.9713E+02      0.9626E+02
   2.269      0.9708E+02      0.9622E+02
   2.276      0.9702E+02      0.9618E+02
   2.284      0.9697E+02      0.9613E+02
   2.292      0.9691E+02      0.9609E+02
   2.300      0.9685E+02      0.9604E+02
   2.308      0.9678E+02      0.9600E+02
   2.316      0.9672E+02      0.9595E+02
   2.324      0.9665E+02      0.9590E+02
   2.332      0.9658E+02      0.9585E+02
   2.340      0.9651E+02      0.9580E+02
   2.348      0.9644E+02      0.9575E+02
   2.356      0.9636E+02      0.9570E+02
   2.363      0.9628E+02      0.9565E+02
   2.371      0.9620E+02      0.9560E+02
   2.379      0.9612E+02      0.9555E+02
   2.387      0.9604E+02      0.9549E+02
   2.395      0.9596E+02      0.9544E+02
   2.403      0.9587E+02      0.9539E+02
   2.411      0.9578E+02      0.9534E+02
   2.419      0.9570E+02      0.9528E+02
   2.427      0.9561E+02      0.9523E+02
   2.435      0.9552E+02      0.9518E+02
   2.442      0.9542E+02      0.9513E+02
   2.450      0.9533E+02      0.9508E+02
   2.458      0.9523E+02      0.9502E+02
   2.466      0.9514E+02      0.9497E+02
   2.474      0.9504E+02      0.9492E+02
   2.482      0.9495E+02      0.9487E+02
   2.490      0.9485E+02      0.9482E+02
   2.498      0.9475E+02      0.9477E+02
   2.506      0.9465E+02      0.9472E+02
   2.514      0.9455E+02      0.9468E+02
   2.522      0.9445E+02      0.9463E+02
   2.529      0.9435E+02      0.9458E+02
   2.537      0.9425E+02      0.9454E+02
   2.545      0.9415E+02      0.9449E+02
