   #Energy      xx(%)           yy(%)
   2.762      0.3858E+01      0.3858E+01
   2.780      0.3888E+01      0.3888E+01
   2.799      0.3918E+01      0.3918E+01
   2.817      0.3949E+01      0.3949E+01
   2.835      0.3980E+01      0.3980E+01
   2.853      0.4012E+01      0.4012E+01
   2.872      0.4045E+01      0.4045E+01
   2.890      0.4078E+01      0.4078E+01
   2.908      0.4112E+01      0.4112E+01
   2.926      0.4147E+01      0.4147E+01
   2.945      0.4182E+01      0.4182E+01
   2.963      0.4218E+01      0.4218E+01
   2.981      0.4255E+01      0.4255E+01
   3.000      0.4294E+01      0.4294E+01
   3.018      0.4332E+01      0.4332E+01
   3.036      0.4373E+01      0.4373E+01
   3.054      0.4414E+01      0.4414E+01
   3.073      0.4456E+01      0.4456E+01
   3.091      0.4499E+01      0.4499E+01
   3.109      0.4544E+01      0.4544E+01
   3.128      0.4589E+01      0.4589E+01
   3.146      0.4636E+01      0.4636E+01
   3.164      0.4683E+01      0.4683E+01
   3.183      0.4732E+01      0.4732E+01
   3.201      0.4782E+01      0.4782E+01
   3.219      0.4834E+01      0.4834E+01
   3.237      0.4887E+01      0.4887E+01
   3.256      0.4941E+01      0.4941E+01
   3.274      0.4997E+01      0.4997E+01
   3.292      0.5055E+01      0.5055E+01
   3.311      0.5115E+01      0.5115E+01
   3.329      0.5176E+01      0.5176E+01
   3.347      0.5240E+01      0.5240E+01
   3.365      0.5306E+01      0.5306E+01
   3.384      0.5374E+01      0.5374E+01
   3.402      0.5444E+01      0.5444E+01
   3.420      0.5517E+01      0.5517E+01
   3.439      0.5592E+01      0.5592E+01
   3.457      0.5669E+01      0.5669E+01
   3.475      0.5750E+01      0.5750E+01
   3.494      0.5833E+01      0.5833E+01
   3.512      0.5920E+01      0.5920E+01
   3.530      0.6009E+01      0.6009E+01
   3.548      0.6103E+01      0.6103E+01
   3.567      0.6201E+01      0.6201E+01
   3.585      0.6302E+01      0.6302E+01
   3.603      0.6408E+01      0.6408E+01
   3.622      0.6517E+01      0.6517E+01
   3.640      0.6632E+01      0.6632E+01
   3.658      0.6750E+01      0.6750E+01
   3.676      0.6872E+01      0.6872E+01
   3.695      0.6998E+01      0.6998E+01
   3.713      0.7128E+01      0.7128E+01
   3.731      0.7261E+01      0.7261E+01
   3.750      0.7396E+01      0.7396E+01
   3.768      0.7533E+01      0.7533E+01
   3.786      0.7670E+01      0.7670E+01
   3.804      0.7807E+01      0.7807E+01
   3.823      0.7941E+01      0.7941E+01
   3.841      0.8072E+01      0.8072E+01
   3.859      0.8197E+01      0.8197E+01
   3.878      0.8315E+01      0.8315E+01
   3.896      0.8424E+01      0.8424E+01
   3.914      0.8521E+01      0.8521E+01
   3.933      0.8605E+01      0.8605E+01
   3.951      0.8673E+01      0.8673E+01
   3.969      0.8725E+01      0.8725E+01
   3.987      0.8758E+01      0.8758E+01
   4.006      0.8772E+01      0.8772E+01
   4.024      0.8766E+01      0.8766E+01
   4.042      0.8740E+01      0.8740E+01
   4.061      0.8694E+01      0.8694E+01
   4.079      0.8628E+01      0.8628E+01
   4.097      0.8544E+01      0.8544E+01
   4.115      0.8442E+01      0.8442E+01
