#K-Path(1/A)     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  4.1176    3.3201    4.7780   10.9715   12.5417   14.8086   14.8942
  4.1608    3.4169    5.1107   10.8964   12.5015   14.7688   14.8685
  4.2041    3.5344    5.4187   10.8279   12.4559   14.7277   14.8382
  4.2474    3.6731    5.6894   10.7737   12.4044   14.6865   14.8036
  4.2907    3.8330    5.9112   10.7416   12.3460   14.6463   14.7653
  4.3340    4.0129    6.0741   10.7390   12.2795   14.6083   14.7242
  4.3772    4.2107    6.1717   10.7709   12.2037   14.5738   14.6819
  4.4205    4.4236    6.2018   10.8382   12.1172   14.5438   14.6399
  4.4638    4.6481    6.1679   10.9377   12.0187   14.5195   14.6001
  4.5071    4.8797    6.0772   11.0625   11.9076   14.5018   14.5643
  4.5504    5.1136    5.9394   11.2039   11.7838   14.4916   14.5342
  4.5936    5.3437    5.7649   11.3533   11.6482   14.4896   14.5111
  4.6369    5.5634    5.5634   11.5034   11.5034   14.4961   14.4961
  4.6369    5.5634    5.5634   11.5034   11.5034   14.4961   14.4961
  4.6675    5.5527    5.5527   11.5101   11.5101   14.4943   14.4943
  4.6981    5.5212    5.5212   11.5301   11.5301   14.4887   14.4887
  4.7287    5.4698    5.4698   11.5627   11.5627   14.4796   14.4796
  4.7593    5.3999    5.3999   11.6066   11.6066   14.4669   14.4669
  4.7899    5.3136    5.3136   11.6605   11.6605   14.4509   14.4509
  4.8205    5.2133    5.2133   11.7227   11.7227   14.4317   14.4317
  4.8511    5.1017    5.1017   11.7913   11.7913   14.4096   14.4096
  4.8817    4.9816    4.9816   11.8646   11.8646   14.3849   14.3849
  4.9123    4.8561    4.8561   11.9406   11.9406   14.3581   14.3581
  4.9429    4.7285    4.7285   12.0174   12.0174   14.3297   14.3297
  4.9735    4.6018    4.6018   12.0932   12.0932   14.3003   14.3003
  5.0041    4.4796    4.4796   12.1662   12.1662   14.2706   14.2706
  5.0347    4.3649    4.3649   12.2345   12.2345   14.2416   14.2416
  5.0654    4.2611    4.2611   12.2964   12.2964   14.2141   14.2141
  5.0960    4.1712    4.1712   12.3502   12.3502   14.1894   14.1894
  5.1266    4.0980    4.0980   12.3942   12.3942   14.1686   14.1686
  5.1572    4.0439    4.0439   12.4268   12.4268   14.1528   14.1528
  5.1878    4.0106    4.0106   12.4469   12.4469   14.1428   14.1428
  5.2184    3.9994    3.9994   12.4537   12.4537   14.1394   14.1394
