#Thickness(um)           XX(%)           YY(%)           ZZ(%)      Average(%)
     1.21000         31.1519         31.1519         31.1519         31.1519
     1.22000         31.1609         31.1609         31.1609         31.1609
     1.23000         31.1696         31.1696         31.1696         31.1696
     1.24000         31.1781         31.1781         31.1781         31.1781
     1.25000         31.1863         31.1863         31.1863         31.1863
     1.26000         31.1942         31.1942         31.1942         31.1942
     1.27000         31.2019         31.2019         31.2019         31.2019
     1.28000         31.2094         31.2094         31.2094         31.2094
     1.29000         31.2166         31.2166         31.2166         31.2166
     1.30000         31.2237         31.2237         31.2237         31.2237
     1.31000         31.2305         31.2305         31.2305         31.2305
     1.32000         31.2371         31.2371         31.2371         31.2371
     1.33000         31.2435         31.2435         31.2435         31.2435
     1.34000         31.2497         31.2497         31.2497         31.2497
     1.35000         31.2557         31.2557         31.2557         31.2557
     1.36000         31.2616         31.2616         31.2616         31.2616
     1.37000         31.2673         31.2673         31.2673         31.2673
     1.38000         31.2728         31.2728         31.2728         31.2728
     1.39000         31.2781         31.2781         31.2781         31.2781
     1.40000         31.2833         31.2833         31.2833         31.2833
     1.41000         31.2883         31.2883         31.2883         31.2883
     1.42000         31.2932         31.2932         31.2932         31.2932
     1.43000         31.2979         31.2979         31.2979         31.2979
     1.44000         31.3025         31.3025         31.3025         31.3025
     1.45000         31.3069         31.3069         31.3069         31.3069
     1.46000         31.3113         31.3113         31.3113         31.3113
     1.47000         31.3154         31.3154         31.3154         31.3154
     1.48000         31.3195         31.3195         31.3195         31.3195
     1.49000         31.3235         31.3235         31.3235         31.3235
     1.50000         31.3273         31.3273         31.3273         31.3273
     1.51000         31.3310         31.3310         31.3310         31.3310
     1.52000         31.3346         31.3346         31.3346         31.3346
     1.53000         31.3381         31.3381         31.3381         31.3381
     1.54000         31.3415         31.3415         31.3415         31.3415
     1.55000         31.3448         31.3448         31.3448         31.3448
     1.56000         31.3480         31.3480         31.3480         31.3480
     1.57000         31.3511         31.3511         31.3511         31.3511
     1.58000         31.3541         31.3541         31.3541         31.3541
     1.59000         31.3570         31.3570         31.3570         31.3570
     1.60000         31.3598         31.3598         31.3598         31.3598
     1.61000         31.3626         31.3626         31.3626         31.3626
     1.62000         31.3652         31.3652         31.3652         31.3652
     1.63000         31.3678         31.3678         31.3678         31.3678
     1.64000         31.3703         31.3703         31.3703         31.3703
     1.65000         31.3728         31.3728         31.3728         31.3728
     1.66000         31.3752         31.3752         31.3752         31.3752
     1.67000         31.3775         31.3775         31.3775         31.3775
     1.68000         31.3797         31.3797         31.3797         31.3797
     1.69000         31.3819         31.3819         31.3819         31.3819
     1.70000         31.3840         31.3840         31.3840         31.3840
     1.71000         31.3860         31.3860         31.3860         31.3860
     1.72000         31.3880         31.3880         31.3880         31.3880
     1.73000         31.3899         31.3899         31.3899         31.3899
     1.74000         31.3918         31.3918         31.3918         31.3918
     1.75000         31.3936         31.3936         31.3936         31.3936
     1.76000         31.3953         31.3953         31.3953         31.3953
     1.77000         31.3970         31.3970         31.3970         31.3970
     1.78000         31.3987         31.3987         31.3987         31.3987
     1.79000         31.4003         31.4003         31.4003         31.4003
     1.80000         31.4019         31.4019         31.4019         31.4019
     1.81000         31.4034         31.4034         31.4034         31.4034
     1.82000         31.4049         31.4049         31.4049         31.4049
     1.83000         31.4063         31.4063         31.4063         31.4063
     1.84000         31.4077         31.4077         31.4077         31.4077
     1.85000         31.4090         31.4090         31.4090         31.4090
     1.86000         31.4104         31.4104         31.4104         31.4104
     1.87000         31.4116         31.4116         31.4116         31.4116
     1.88000         31.4129         31.4129         31.4129         31.4129
