 #energy    xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  2.7625  0.13556899E+06  0.13556899E+06  0.13556899E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8156  0.14779422E+06  0.14779422E+06  0.14779422E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.8688  0.17625281E+06  0.17625281E+06  0.17625281E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9219  0.23575699E+06  0.23575699E+06  0.23575699E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.9750  0.31983008E+06  0.31983008E+06  0.31983008E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0281  0.38751307E+06  0.38751307E+06  0.38751307E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.0813  0.39648711E+06  0.39648711E+06  0.39648711E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1344  0.37538994E+06  0.37538994E+06  0.37538994E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.1875  0.37146890E+06  0.37146890E+06  0.37146890E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2406  0.38240566E+06  0.38240566E+06  0.38240566E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.2938  0.39084087E+06  0.39084087E+06  0.39084087E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.3469  0.39093748E+06  0.39093748E+06  0.39093748E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4000  0.39306195E+06  0.39306195E+06  0.39306195E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4531  0.40700988E+06  0.40700988E+06  0.40700988E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5063  0.43428284E+06  0.43428284E+06  0.43428284E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5594  0.47923760E+06  0.47923760E+06  0.47923760E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6125  0.53698690E+06  0.53698690E+06  0.53698690E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6656  0.58170614E+06  0.58170614E+06  0.58170614E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7188  0.58106985E+06  0.58106985E+06  0.58106985E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7719  0.53803485E+06  0.53803485E+06  0.53803485E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8250  0.50573091E+06  0.50573091E+06  0.50573091E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8781  0.52124269E+06  0.52124269E+06  0.52124269E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9313  0.56252421E+06  0.56252421E+06  0.56252421E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9844  0.59070237E+06  0.59070237E+06  0.59070237E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0375  0.60528813E+06  0.60528813E+06  0.60528813E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0906  0.61837621E+06  0.61837621E+06  0.61837621E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1438  0.63413587E+06  0.63413587E+06  0.63413587E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1969  0.65138948E+06  0.65138948E+06  0.65138948E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2500  0.64476056E+06  0.64476056E+06  0.64476056E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3031  0.60528002E+06  0.60528002E+06  0.60528002E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3563  0.57503576E+06  0.57503576E+06  0.57503576E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4094  0.59205945E+06  0.59205945E+06  0.59205945E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4625  0.64940886E+06  0.64940886E+06  0.64940886E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5156  0.70814501E+06  0.70814501E+06  0.70814501E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5688  0.75409134E+06  0.75409134E+06  0.75409134E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6219  0.80868763E+06  0.80868763E+06  0.80868763E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6750  0.88262717E+06  0.88262717E+06  0.88262717E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7281  0.95028600E+06  0.95028600E+06  0.95028600E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7813  0.99358663E+06  0.99358663E+06  0.99358663E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8344  0.10298608E+07  0.10298608E+07  0.10298608E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8875  0.11003816E+07  0.11003816E+07  0.11003816E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9406  0.12474331E+07  0.12474331E+07  0.12474331E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9938  0.14697376E+07  0.14697376E+07  0.14697376E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0469  0.17235445E+07  0.17235445E+07  0.17235445E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1000  0.19237934E+07  0.19237934E+07  0.19237934E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1531  0.19887903E+07  0.19887903E+07  0.19887903E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2063  0.19110601E+07  0.19110601E+07  0.19110601E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2594  0.17540337E+07  0.17540337E+07  0.17540337E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3125  0.15999234E+07  0.15999234E+07  0.15999234E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3657  0.15373842E+07  0.15373842E+07  0.15373842E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4188  0.15976451E+07  0.15976451E+07  0.15976451E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4719  0.17289815E+07  0.17289815E+07  0.17289815E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5250  0.18877649E+07  0.18877649E+07  0.18877649E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5782  0.20160394E+07  0.20160394E+07  0.20160394E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6313  0.20443660E+07  0.20443660E+07  0.20443660E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
