             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.176776776777E+01     -0.664001118893E+01      0.560059053574E+01      0.180201094523E+02      0.566022959970E+01
     -0.176376376376E+01     -0.657568478611E+01      0.573122382556E+01      0.182137887848E+02      0.578977594141E+01
     -0.175975975976E+01     -0.629768771702E+01      0.594829059348E+01      0.183649195220E+02      0.600517413283E+01
     -0.175575575576E+01     -0.581819852441E+01      0.624071385471E+01      0.184631937913E+02      0.629523637386E+01
     -0.175175175175E+01     -0.515221991685E+01      0.659635742070E+01      0.184990597315E+02      0.664773241179E+01
     -0.174774774775E+01     -0.431648850996E+01      0.700280046498E+01      0.184641857567E+02      0.705016590391E+01
     -0.174374374374E+01     -0.332856318147E+01      0.744797823468E+01      0.183518328488E+02      0.749041596735E+01
     -0.173973973974E+01     -0.220612917132E+01      0.792065224770E+01      0.181571007101E+02      0.795720792882E+01
     -0.173573573574E+01     -0.966530464291E+00      0.841069132573E+01      0.178770246953E+02      0.844039518559E+01
     -0.173173173173E+01      0.373476282943E+00      0.890916206961E+01      0.175105144894E+02      0.893105094732E+01
     -0.172772772773E+01      0.179776704844E+01      0.940824296311E+01      0.170581410930E+02      0.942138370153E+01
     -0.172372372372E+01      0.329072519070E+01      0.990098935830E+01      0.165217943611E+02      0.990450297005E+01
     -0.171971971972E+01      0.483698134907E+01      0.103809863176E+02      0.159042473668E+02      0.103740716778E+02
     -0.171571571572E+01      0.642105639590E+01      0.108419319357E+02      0.152086742557E+02      0.108238875291E+02
     -0.171171171171E+01      0.802694478057E+01      0.112771950256E+02      0.144381731082E+02      0.112474376381E+02
     -0.170770770771E+01      0.963767310116E+01      0.116793883176E+02      0.135953435830E+02      0.116374683339E+02
     -0.170370370370E+01      0.112348653535E+02      0.120399927247E+02      0.126819611912E+02      0.119856064231E+02
     -0.169969969970E+01      0.127983431889E+02      0.123490612428E+02      0.116987778650E+02      0.122820607655E+02
     -0.169569569570E+01      0.143057875626E+02      0.125950239939E+02      0.106454646828E+02      0.125154254131E+02
     -0.169169169169E+01      0.157324877758E+02      0.127646094671E+02      0.952069941923E+01      0.126725988874E+02
     -0.168768768769E+01      0.170512049554E+02      0.128428913369E+02      0.832238999758E+01      0.127388287633E+02
     -0.168368368368E+01      0.182321789809E+02      0.128134652571E+02      0.704801474261E+01      0.126978863269E+02
     -0.167967967968E+01      0.192433100083E+02      0.126587557302E+02      0.569505088557E+01      0.125323722080E+02
     -0.167567567568E+01      0.200505471263E+02      0.123604496313E+02      0.426145390661E+01      0.122241502214E+02
     -0.167167167167E+01      0.206185160310E+02      0.119000501277E+02      0.274614285825E+01      0.117549030056E+02
     -0.166766766767E+01      0.209114132837E+02      0.112595421161E+02      0.114944259208E+01      0.111067993306E+02
     -0.166366366366E+01      0.208941848083E+02      0.104221570604E+02     -0.526565130190E+00      0.102632589129E+02
     -0.165965965966E+01      0.205339888966E+02      0.937322022068E+01     -0.227782188761E+01      0.920979574324E+01
     -0.165565565566E+01      0.198019177113E+02      0.810105584525E+01     -0.409822998191E+01      0.793491452488E+01
     -0.165165165165E+01      0.186749156725E+02      0.659791538068E+01     -0.597975337717E+01      0.643102589200E+01
     -0.164764764765E+01      0.171377895511E+02      0.486088016315E+01     -0.791266781340E+01      0.469533396695E+01
     -0.164364364364E+01      0.151851577766E+02      0.289267449145E+01     -0.988592743899E+01      0.273063494301E+01
     -0.163963963964E+01      0.128231433976E+02      0.702310213521E+00     -0.118876028877E+02      0.545950241157E+00
     -0.163563563564E+01      0.100705881113E+02     -0.169452525053E+01     -0.139053407221E+02     -0.184309262046E+01
     -0.163163163163E+01      0.695956746206E+01     -0.427542311102E+01     -0.159267961055E+02     -0.441421725150E+01
     -0.162762762763E+01      0.353503092405E+01     -0.701161585259E+01     -0.179399975639E+02     -0.713886083080E+01
     -0.162362362362E+01     -0.146521700885E+00     -0.986877605569E+01     -0.199336126433E+02     -0.998297013330E+01
     -0.161961961962E+01     -0.401929358675E+01     -0.128082252744E+02     -0.218970947614E+02     -0.129082045409E+02
     -0.161561561562E+01     -0.801120462224E+01     -0.157884672690E+02     -0.238207042295E+02     -0.158734587069E+02
     -0.161161161161E+01     -0.120473781311E+02     -0.187669080476E+02     -0.256954103724E+02     -0.188365655170E+02
     -0.160760760761E+01     -0.160537404779E+02     -0.217015942495E+02     -0.275126964839E+02     -0.217560104038E+02
     -0.160360360360E+01     -0.199603640364E+02     -0.245527999566E+02     -0.292643034534E+02     -0.245924891488E+02
     -0.159959959960E+01     -0.237042390639E+02     -0.272843211275E+02     -0.309419585807E+02     -0.273101729240E+02
     -0.159559559560E+01     -0.272312647390E+02     -0.298643896369E+02     -0.325371403350E+02     -0.298775982370E+02
     -0.159159159159E+01     -0.304973783496E+02     -0.322661826525E+02     -0.340409255168E+02     -0.322681621730E+02
     -0.158758758759E+01     -0.334688659052E+02     -0.344679629092E+02     -0.354439522481E+02     -0.344602603542E+02
     -0.158358358358E+01     -0.361219935658E+02     -0.364529287054E+02     -0.367365126372E+02     -0.364371449695E+02
     -0.157957957958E+01     -0.384421534986E+02     -0.382088722097E+02     -0.379087669333E+02     -0.381865975472E+02
     -0.157557557558E+01     -0.404227281827E+02     -0.397277412550E+02     -0.389510514722E+02     -0.397005069700E+02
     -0.157157157157E+01     -0.420638521417E+02     -0.410051796905E+02     -0.398542399865E+02     -0.409744239396E+02
     -0.156756756757E+01     -0.433712040001E+02     -0.420400940024E+02     -0.406101142515E+02     -0.420071374180E+02
     -0.156356356356E+01     -0.443549099710E+02     -0.428342679616E+02     -0.412117051669E+02     -0.428002943665E+02
     -0.155955955956E+01     -0.450285943340E+02     -0.433920277472E+02     -0.416535764844E+02     -0.433580661885E+02
     -0.155555555556E+01     -0.454085795887E+02     -0.437199486437E+02     -0.419320364493E+02     -0.436868548939E+02
     -0.155155155155E+01     -0.455132199636E+02     -0.438265897260E+02     -0.420452739052E+02     -0.437950278649E+02
     -0.154754754755E+01     -0.453623445860E+02     -0.437222428971E+02     -0.419934227051E+02     -0.436926700628E+02
     -0.154354354354E+01     -0.449767872829E+02     -0.434186857200E+02     -0.417785613661E+02     -0.433913447897E+02
     -0.153953953954E+01     -0.443779851801E+02     -0.429289327350E+02     -0.414046551539E+02     -0.429038576897E+02
     -0.153553553554E+01     -0.435876351234E+02     -0.422669864000E+02     -0.408774471726E+02     -0.422440228987E+02
     -0.153153153153E+01     -0.426274032196E+02     -0.414475948916E+02     -0.402043051970E+02     -0.414264344361E+02
     -0.152752752753E+01     -0.415186869001E+02     -0.404860278120E+02     -0.393940325840E+02     -0.404662490987E+02
     -0.152352352352E+01     -0.402824299868E+02     -0.393978808022E+02     -0.384566542164E+02     -0.393789883352E+02
     -0.151951951952E+01     -0.389389894016E+02     -0.381989158672E+02     -0.374031909065E+02     -0.381803653918E+02
     -0.151551551552E+01     -0.375080484433E+02     -0.369049372262E+02     -0.362454367197E+02     -0.368861407964E+02
     -0.151151151151E+01     -0.360085675466E+02     -0.355316952627E+02     -0.349957523530E+02     -0.355120050541E+02
     -0.150750750751E+01     -0.344587606159E+02     -0.340948063345E+02     -0.336668839111E+02     -0.340734836205E+02
     -0.150350350350E+01     -0.328760842271E+02     -0.326096753701E+02     -0.322718108295E+02     -0.325858568089E+02
     -0.149949949950E+01     -0.312772280826E+02     -0.310914111536E+02     -0.308236204903E+02     -0.310640865755E+02
     -0.149549549550E+01     -0.296780972814E+02     -0.295547292139E+02     -0.293354015429E+02     -0.295227426794E+02
     -0.149149149149E+01     -0.280937792054E+02     -0.280138419338E+02     -0.278201441287E+02     -0.279759217560E+02
     -0.148748748749E+01     -0.265384894764E+02     -0.264823380817E+02     -0.262906337746E+02     -0.264371537776E+02
     -0.148348348348E+01     -0.250254925556E+02     -0.249730540587E+02     -0.247593269673E+02     -0.249192911939E+02
     -0.147947947948E+01     -0.235669938722E+02     -0.234979378250E+02     -0.232382003722E+02     -0.234343773565E+02
     -0.147547547548E+01     -0.221740029369E+02     -0.220679055767E+02     -0.217385719712E+02     -0.219934934949E+02
     -0.147147147147E+01     -0.208561714230E+02     -0.206926923250E+02     -0.202709002386E+02     -0.206065879955E+02
     -0.146746746747E+01     -0.196216164839E+02     -0.193807008878E+02     -0.188445754501E+02     -0.192822976073E+02
     -0.146346346346E+01     -0.184767461757E+02     -0.181388582798E+02     -0.174677234056E+02     -0.180277759537E+02
     -0.145945945946E+01     -0.174261084886E+02     -0.169724920132E+02     -0.161470443502E+02     -0.168485482840E+02
     -0.145545545546E+01     -0.164722859499E+02     -0.158852396250E+02     -0.148877073824E+02     -0.157484109858E+02
     -0.145145145145E+01     -0.156158530975E+02     -0.148790023240E+02     -0.136933131758E+02     -0.147293895324E+02
     -0.144744744745E+01     -0.148554053907E+02     -0.139539491784E+02     -0.125659269535E+02     -0.137917605076E+02
     -0.144344344344E+01     -0.141876581593E+02     -0.131085738919E+02     -0.115061722275E+02     -0.129341347596E+02
     -0.143943943944E+01     -0.136076063988E+02     -0.123398037406E+02     -0.105133671185E+02     -0.121535924193E+02
     -0.143543543544E+01     -0.131087329287E+02     -0.116431599363E+02     -0.958568182848E+01     -0.114458582312E+02
     -0.143143143143E+01     -0.126832537090E+02     -0.110129689356E+02     -0.872029912522E+01     -0.108055072566E+02
     -0.142742742743E+01     -0.123223927677E+02     -0.104426225456E+02     -0.791356859553E+01     -0.102261946363E+02
     -0.142342342342E+01     -0.120166820142E+02     -0.992487930746E+01     -0.716115699084E+01     -0.970090610418E+01
     -0.141941941942E+01     -0.117562806785E+02     -0.945219101030E+01     -0.645820711903E+01     -0.922222626927E+01
     -0.141541541542E+01     -0.115313048129E+02     -0.901702918038E+01     -0.579952233364E+01     -0.878261877565E+01
     -0.141141141141E+01     -0.113321510857E+02     -0.861218123980E+01     -0.517979015020E+01     -0.837470749189E+01
     -0.140740740741E+01     -0.111497941722E+02     -0.823098822467E+01     -0.459384690885E+01     -0.799154310190E+01
     -0.140340340340E+01     -0.109760362678E+02     -0.786750631054E+01     -0.403696864303E+01     -0.762683707379E+01
     -0.139939939940E+01     -0.108036916309E+02     -0.751659020470E+01     -0.350515646470E+01     -0.727514610009E+01
     -0.139539539540E+01     -0.106266973098E+02     -0.717391231399E+01     -0.299537341493E+01     -0.693199434624E+01
     -0.139139139139E+01     -0.104401503392E+02     -0.683594153877E+01     -0.250568814767E+01     -0.659392667521E+01
     -0.138738738739E+01     -0.102402786583E+02     -0.649990577461E+01     -0.203529070723E+01     -0.625849171338E+01
     -0.138338338338E+01     -0.100243563118E+02     -0.616375296260E+01     -0.158436564653E+01     -0.592415830698E+01
     -0.137937937938E+01     -0.979057391195E+01     -0.582611127529E+01     -0.115383376407E+01     -0.559017298377E+01
     -0.137537537538E+01     -0.953787526804E+01     -0.548623661538E+01     -0.745000080809E+00     -0.525637065474E+01
     -0.137137137137E+01     -0.926577284808E+01     -0.514393120340E+01     -0.359166215653E+00     -0.492295675571E+01
     -0.136736736737E+01     -0.897415887443E+01     -0.479942320410E+01      0.272510295564E-02     -0.459028565852E+01
     -0.136336336336E+01     -0.866313356494E+01     -0.445321179777E+01      0.340349951463E+00     -0.425866513708E+01
     -0.135935935936E+01     -0.833287408359E+01     -0.410589874226E+01      0.654122020788E+00     -0.392821693502E+01
     -0.135535535536E+01     -0.798356440291E+01     -0.375803918197E+01      0.945152564155E+00     -0.359881700691E+01
     -0.135135135135E+01     -0.761539687003E+01     -0.341004618276E+01      0.121506489746E+01     -0.327012605178E+01
     -0.134734734735E+01     -0.722864275829E+01     -0.306217408844E+01      0.146570404385E+01     -0.294170426763E+01
     -0.134334334334E+01     -0.682377513305E+01     -0.271458816742E+01      0.169879930322E+01     -0.261318799909E+01
     -0.133933933934E+01     -0.640161677143E+01     -0.236750751117E+01      0.191564196558E+01     -0.228449410567E+01
     -0.133533533534E+01     -0.596348124835E+01     -0.202139056495E+01      0.211683300811E+01     -0.195601293506E+01
     -0.133133133133E+01     -0.551127740240E+01     -0.167712247121E+01      0.230213995901E+01     -0.162875330487E+01
     -0.132732732733E+01     -0.504755528067E+01     -0.133616267932E+01      0.247048241770E+01     -0.130441184743E+01
     -0.132332332332E+01     -0.457548325440E+01     -0.100061957312E+01      0.262004533772E+01     -0.985352496601E+00
     -0.131931931932E+01     -0.409875877033E+01     -0.673233711628E+00      0.274850011552E+01     -0.674497455480E+00
     -0.131531531532E+01     -0.362146679164E+01     -0.357269090667E+00      0.285329711521E+01     -0.375146255697E+00
     -0.131131131131E+01     -0.314790859381E+01     -0.563289396849E-01      0.293198116821E+01     -0.907521217619E-01
     -0.130730730731E+01     -0.268242813625E+01      0.225874046105E+00      0.298247627634E+01      0.175307395400E+00
     -0.130330330330E+01     -0.222926328680E+01      0.485755494554E+00      0.300328986308E+01      0.419927356945E+00
     -0.129929929930E+01     -0.179244474075E+01      0.720066771950E+00      0.299360185832E+01      0.640407963171E+00
     -0.129529529530E+01     -0.137575693166E+01      0.926039759242E+00      0.295322834652E+01      0.834503724699E+00
     -0.129129129129E+01     -0.982763471327E+00      0.110144912129E+01      0.288247879986E+01      0.100038814994E+01
     -0.128728728729E+01     -0.616886300329E+00      0.124458908233E+01      0.278195284964E+01      0.113655187721E+01
     -0.128328328328E+01     -0.281515183119E+00      0.135418013651E+01      0.265233943418E+01      0.124166812919E+01
     -0.127927927928E+01      0.198847062609E-01      0.142923723942E+01      0.249428242587E+01      0.131446812385E+01
     -0.127527527528E+01      0.283702000929E+00      0.146894085754E+01      0.230836108198E+01      0.135366798015E+01
     -0.127127127127E+01      0.506174955837E+00      0.147255269238E+01      0.209520431491E+01      0.135797732104E+01
     -0.126726726727E+01      0.683471094790E+00      0.143940776841E+01      0.185572214441E+01      0.132620033587E+01
     -0.126326326326E+01      0.811850187591E+00      0.136899539062E+01      0.159140482777E+01      0.125741680199E+01
     -0.125925925926E+01      0.887891183237E+00      0.126111759187E+01      0.130461841259E+01      0.115120906257E+01
     -0.125525525526E+01      0.908748688145E+00      0.111609156573E+01      0.998820465610E+00      0.100788690650E+01
     -0.125125125125E+01      0.872397935772E+00      0.934949046582E+00      0.678633227107E+00      0.828660069820E+00
     -0.124724724725E+01      0.777831488849E+00      0.719585419862E+00      0.349740815166E+00      0.615719241292E+00
     -0.124324324324E+01      0.625185351811E+00      0.472825006770E+00      0.186156936960E-01      0.372208684092E+00
     -0.123923923924E+01      0.415792283887E+00      0.198391854545E+00     -0.307882161122E+00      0.102100659104E+00
     -0.123523523524E+01      0.152178919739E+00     -0.992008355451E-01     -0.622962447160E+00     -0.189994787655E+00
     -0.123123123123E+01     -0.161966138124E+00     -0.414813431379E+00     -0.920338334811E+00     -0.499039301438E+00
     -0.122722722723E+01     -0.521827803346E+00     -0.742862260013E+00     -0.119456969261E+01     -0.819753251990E+00
     -0.122322322322E+01     -0.921491199571E+00     -0.107749791457E+01     -0.144127809527E+01     -0.114675573647E+01
