             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.175975975976E+01      0.249238731988E+00      0.219735309952E+00      0.206598647699E+01      0.844986839644E+00
     -0.175575575576E+01      0.214056677006E+00      0.241360863332E+00      0.206562170588E+01      0.840346415407E+00
     -0.175175175175E+01      0.168860110058E+00      0.269055303066E+00      0.205104749075E+01      0.829654301293E+00
     -0.174774774775E+01      0.119181024048E+00      0.302508924444E+00      0.202092443431E+01      0.814204794266E+00
     -0.174374374374E+01      0.712237672087E-01      0.341299616462E+00      0.197451873511E+01      0.795680706261E+00
     -0.173973973974E+01      0.314222351815E-01      0.384880385213E+00      0.191176335136E+01      0.776021990585E+00
     -0.173573573574E+01      0.605220413523E-02      0.432585337571E+00      0.183325971720E+01      0.757299086303E+00
     -0.173173173173E+01      0.905958750067E-03      0.483644784500E+00      0.174022106986E+01      0.741590604370E+00
     -0.172772772773E+01      0.210230298476E-01      0.537199274960E+00      0.163436696103E+01      0.730863088611E+00
     -0.172372372372E+01      0.704631644224E-01      0.592304268936E+00      0.151778539887E+01      0.726850944077E+00
     -0.171971971972E+01      0.152105674711E+00      0.647920866195E+00      0.139278307027E+01      0.730936537059E+00
     -0.171571571572E+01      0.267462321622E+00      0.702892459796E+00      0.126174459157E+01      0.744033124330E+00
     -0.171171171171E+01      0.416497628874E+00      0.755911455987E+00      0.112701881866E+01      0.766475967841E+00
     -0.170770770771E+01      0.597459487434E+00      0.805483676332E+00      0.990844719018E+00      0.797929294261E+00
     -0.170370370370E+01      0.806732568373E+00      0.849900446831E+00      0.855322477797E+00      0.837318497667E+00
     -0.169969969970E+01      0.103873603659E+01      0.887229626780E+00      0.722428783381E+00      0.882798148916E+00
     -0.169569569570E+01      0.128589415865E+01      0.915336951770E+00      0.594069685690E+00      0.931766932035E+00
     -0.169169169169E+01      0.153871257113E+01      0.931948023840E+00      0.472160516187E+00      0.980940370384E+00
     -0.168768768769E+01      0.178599325217E+01      0.934758980843E+00      0.358720022743E+00      0.102649075192E+01
     -0.168368368368E+01      0.201521678418E+01      0.921600257663E+00      0.255964764015E+00      0.106426060195E+01
     -0.167967967968E+01      0.221311076640E+01      0.890653013007E+00      0.166389671117E+00      0.109005115017E+01
     -0.167567567568E+01      0.236640816831E+01      0.840712040121E+00      0.928215525878E-01      0.109998058700E+01
     -0.167167167167E+01      0.246277954829E+01      0.771482753814E+00      0.384344801590E-01      0.109089892742E+01
     -0.166766766767E+01      0.249189958334E+01      0.683893619069E+00      0.671975684290E-02      0.106083765308E+01
     -0.166366366366E+01      0.244658307090E+01      0.580399558888E+00      0.140855580173E-02      0.100946372853E+01
     -0.165965965966E+01      0.232390085210E+01      0.465246775094E+00      0.263518236452E-01      0.938499816945E+00
     -0.165565565566E+01      0.212616486496E+01      0.344665373643E+00      0.853686007515E-01      0.852066279786E+00
     -0.165165165165E+01      0.186165719527E+01      0.226953733928E+00      0.182079126808E+00      0.756896685335E+00
     -0.164764764765E+01      0.154497456997E+01      0.122418645864E+00      0.319741679533E+00      0.662378298455E+00
     -0.164364364364E+01      0.119687183868E+01      0.431393870175E-01      0.501111319857E+00      0.580374181851E+00
     -0.163963963964E+01      0.843520258264E+00      0.253410467721E-02      0.728334713644E+00      0.524796358862E+00
     -0.163563563564E+01      0.515151936827E+00      0.147248594595E-01      0.100288886427E+01      0.510921886851E+00
     -0.163163163163E+01      0.244139413599E+00      0.937237555790E-01      0.132556421764E+01      0.554475795606E+00
     -0.162762762763E+01      0.626506030194E-01      0.252494142691E+00      0.169648544382E+01      0.670543396510E+00
     -0.162362362362E+01      0.107323478010E-03      0.501971828237E+00      0.211515720140E+01      0.872412117705E+00
     -0.161961961962E+01      0.807376586868E-01      0.850152931004E+00      0.258051799958E+01      0.117046952976E+01
     -0.161561561562E+01      0.321526829197E+00      0.130135895144E+01      0.309098341478E+01      0.157128973181E+01
     -0.161161161161E+01      0.730826407943E+00      0.185577112635E+01      0.364446091065E+01      0.207701948165E+01
     -0.160760760761E+01      0.130778248033E+01      0.250928702097E+01      0.423832275237E+01      0.268513075123E+01
     -0.160360360360E+01      0.204261159934E+01      0.325370133280E+01      0.486933096968E+01      0.338854796727E+01
     -0.159959959960E+01      0.291762132902E+01      0.407716310097E+01      0.553351824249E+01      0.417610089083E+01
     -0.159559559560E+01      0.390877141338E+01      0.496482577547E+01      0.622603935587E+01      0.503321218157E+01
     -0.159159159159E+01      0.498752279620E+01      0.589959298059E+01      0.694101730281E+01      0.594271102653E+01
     -0.158758758759E+01      0.612272895002E+01      0.686287200349E+01      0.767141395314E+01      0.688567163555E+01
     -0.158358358358E+01      0.728237562661E+01      0.783527272372E+01      0.840895581634E+01      0.784220138889E+01
     -0.157957957958E+01      0.843504988663E+01      0.879722153873E+01      0.914414035419E+01      0.879213725985E+01
     -0.157557557558E+01      0.955109427749E+01      0.972948769483E+01      0.986633854097E+01      0.971564017110E+01
     -0.157157157157E+01      0.106034600898E+02      0.106136368330E+02      0.105639971522E+02      0.105936980250E+02
     -0.156756756757E+01      0.115683068219E+02      0.114324320525E+02      0.112249323648E+02      0.114085570797E+02
     -0.156356356356E+01      0.124254044234E+02      0.121701989782E+02      0.118366970568E+02      0.121441001528E+02
     -0.155955955956E+01      0.131583875356E+02      0.128131625462E+02      0.123869988841E+02      0.127861829886E+02
     -0.155555555556E+01      0.137548955588E+02      0.133497534810E+02      0.128641445045E+02      0.133229311814E+02
     -0.155155155155E+01      0.142066163820E+02      0.137708743415E+02      0.132574858583E+02      0.137449921939E+02
     -0.154754754755E+01      0.145092396718E+02      0.140701099603E+02      0.135578456362E+02      0.140457317561E+02
     -0.154354354354E+01      0.146623196436E+02      0.142438658289E+02      0.137579000558E+02      0.142213618428E+02
     -0.153953953954E+01      0.146690470847E+02      0.142914207774E+02      0.138524979498E+02      0.142709886039E+02
     -0.153553553554E+01      0.145359345790E+02      0.142148866954E+02      0.138388968813E+02      0.141965727186E+02
     -0.153153153153E+01      0.142724251394E+02      0.140190765005E+02      0.137169006649E+02      0.140028007683E+02
     -0.152752752753E+01      0.138904403557E+02      0.137112896322E+02      0.134888888072E+02      0.136968729317E+02
     -0.152352352352E+01      0.134038877486E+02      0.133010296064E+02      0.131597365344E+02      0.132882179631E+02
     -0.151951951952E+01      0.128281474292E+02      0.127996693159E+02      0.127366328203E+02      0.127881498551E+02
     -0.151551551552E+01      0.121795558656E+02      0.122200774251E+02      0.122288113192E+02      0.122094815366E+02
     -0.151151151151E+01      0.114749009949E+02      0.115762155908E+02      0.116472137965E+02      0.115661101274E+02
     -0.150750750751E+01      0.107309397462E+02      0.108827140152E+02      0.110041068856E+02      0.108725868823E+02
     -0.150350350350E+01      0.996394729791E+01      0.101544336478E+02      0.103126712750E+02      0.101436840736E+02
     -0.149949949950E+01      0.918930713130E+01      0.940602700292E+01      0.958657906704E+01      0.939397106709E+01
     -0.149549549550E+01      0.842115137946E+01      0.865151416621E+01      0.883957167135E+01      0.863741240567E+01
     -0.149149149149E+01      0.767206107477E+01      0.790389368669E+01      0.808504851084E+01      0.788700109077E+01
     -0.148748748749E+01      0.695283494134E+01      0.717480800942E+01      0.733567663711E+01      0.715443986262E+01
     -0.148348348348E+01      0.627233325264E+01      0.647427973012E+01      0.660303291083E+01      0.644988196453E+01
     -0.147947947948E+01      0.563740035700E+01      0.581052943857E+01      0.589729284714E+01      0.578174088090E+01
     -0.147547547548E+01      0.505286627186E+01      0.518987993711E+01      0.522698223730E+01      0.515657614876E+01
     -0.147147147147E+01      0.452162451567E+01      0.461674634816E+01      0.459880776829E+01      0.457905954404E+01
     -0.146746746747E+01      0.404477995710E+01      0.409370726882E+01      0.401757986985E+01      0.405202236525E+01
     -0.146346346346E+01      0.362185663254E+01      0.362164818922E+01      0.348623447415E+01      0.357657976530E+01
     -0.145945945946E+01      0.325105120848E+01      0.319996437683E+01      0.300595093271E+01      0.315232217267E+01
     -0.145545545546E+01      0.292951365115E+01      0.282680650526E+01      0.257635277512E+01      0.277755764384E+01
     -0.145145145145E+01      0.265363387705E+01      0.249934937893E+01      0.219576875558E+01      0.244958400385E+01
     -0.144744744745E+01      0.241931294217E+01      0.221406333300E+01      0.186152601521E+01      0.216496743013E+01
     -0.144344344344E+01      0.222220036672E+01      0.196696995032E+01      0.157024652895E+01      0.191980561533E+01
