             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.990990990991E+00      0.424287250662E+01      0.318024743133E+01      0.220851830668E+01      0.321054608155E+01
     -0.986986986987E+00      0.460695563632E+01      0.353480913978E+01      0.254803102262E+01      0.356326526624E+01
     -0.982982982983E+00      0.497599755849E+01      0.390025487726E+01      0.290592018374E+01      0.392739087316E+01
     -0.978978978979E+00      0.534725806446E+01      0.427417860913E+01      0.327874364705E+01      0.430006010688E+01
     -0.974974974975E+00      0.571816095908E+01      0.465425890671E+01      0.366306050088E+01      0.467849345556E+01
     -0.970970970971E+00      0.608639709293E+01      0.503831282050E+01      0.405569139740E+01      0.506013377028E+01
     -0.966966966967E+00      0.644997064152E+01      0.542430999521E+01      0.445390106241E+01      0.544272723305E+01
     -0.962962962963E+00      0.680719201982E+01      0.581035343283E+01      0.485547481503E+01      0.582434008923E+01
     -0.958958958959E+00      0.715663527175E+01      0.619464253813E+01      0.525868812954E+01      0.620332197981E+01
     -0.954954954955E+00      0.749708529060E+01      0.657543831152E+01      0.566219344851E+01      0.657823901688E+01
     -0.950950950951E+00      0.782749878786E+01      0.695104846816E+01      0.606486476182E+01      0.694780400594E+01
     -0.946946946947E+00      0.814699371826E+01      0.731984263523E+01      0.646564450882E+01      0.731082695410E+01
     -0.942942942943E+00      0.845486854466E+01      0.768029712660E+01      0.686342958001E+01      0.766619841709E+01
     -0.938938938939E+00      0.875063990162E+01      0.803105845292E+01      0.725701702201E+01      0.801290512552E+01
     -0.934934934935E+00      0.903407889716E+01      0.837100778685E+01      0.764511057396E+01      0.835006575265E+01
     -0.930930930931E+00      0.930522480057E+01      0.869930705026E+01      0.802637178185E+01      0.867696787756E+01
     -0.926926926927E+00      0.956436047627E+01      0.901541155590E+01      0.839948866153E+01      0.899308689790E+01
     -0.922922922923E+00      0.981194505089E+01      0.931904307409E+01      0.876323332908E+01      0.929807381802E+01
     -0.918918918919E+00      0.100485129741E+02      0.961012839812E+01      0.911648774074E+01      0.959170970433E+01
     -0.914914914915E+00      0.102745610897E+02      0.988871882250E+01      0.945823108050E+01      0.987383699758E+01
     -0.910910910911E+00      0.104904527445E+02      0.101549123148E+02      0.978749879780E+01      0.101442879524E+02
     -0.906906906907E+00      0.106963673520E+02      0.104088002812E+02      0.101033365079E+02      0.104028347137E+02
     -0.902902902903E+00      0.108923141371E+02      0.106504540628E+02      0.104047774505E+02      0.106491818834E+02
     -0.898898898899E+00      0.110782117261E+02      0.108799541678E+02      0.106908677040E+02      0.108830111993E+02
     -0.894894894895E+00      0.112540154685E+02      0.110974512980E+02      0.109607496696E+02      0.111040721454E+02
     -0.890890890891E+00      0.114198583811E+02      0.113032372157E+02      0.112137952637E+02      0.113122969535E+02
     -0.886886886887E+00      0.115761655645E+02      0.114977996650E+02      0.114497616641E+02      0.115079089645E+02
     -0.882882882883E+00      0.117237089582E+02      0.116818408490E+02      0.116689304663E+02      0.116914934245E+02
     -0.878878878879E+00      0.118635875467E+02      0.118562517908E+02      0.118721900411E+02      0.118640097929E+02
     -0.874874874875E+00      0.119971410823E+02      0.120220503994E+02      0.120610315884E+02      0.120267410234E+02
     -0.870870870871E+00      0.121258243532E+02      0.121803030380E+02      0.122374488237E+02      0.121811920716E+02
     -0.866866866867E+00      0.122510770252E+02      0.123320530470E+02      0.124037536588E+02      0.123289612437E+02
     -0.862862862863E+00      0.123742190009E+02      0.124782738936E+02      0.125623392595E+02      0.124716107180E+02
     -0.858858858859E+00      0.124963865612E+02      0.126198524368E+02      0.127154327084E+02      0.126105572354E+02
     -0.854854854855E+00      0.126185074695E+02      0.127575948516E+02      0.128648802264E+02      0.127469941825E+02
     -0.850850850851E+00      0.127413009795E+02      0.128922396153E+02      0.130119994835E+02      0.128818466928E+02
     -0.846846846847E+00      0.128652854595E+02      0.130244616025E+02      0.131575189275E+02      0.130157553298E+02
     -0.842842842843E+00      0.129907817337E+02      0.131548581534E+02      0.133016070856E+02      0.131490823242E+02
     -0.838838838839E+00      0.131179101850E+02      0.132839184287E+02      0.134439790285E+02      0.132819358807E+02
     -0.834834834835E+00      0.132465888097E+02      0.134119868287E+02      0.135840554097E+02      0.134142103494E+02
     -0.830830830831E+00      0.133765436404E+02      0.135392360372E+02      0.137211433163E+02      0.135456409980E+02
     -0.826826826827E+00      0.135073409099E+02      0.136656638352E+02      0.138546080205E+02      0.136758709219E+02
     -0.822822822823E+00      0.136384435038E+02      0.137911210950E+02      0.139840098795E+02      0.138045248261E+02
     -0.818818818819E+00      0.137692858195E+02      0.139153689296E+02      0.141091895155E+02      0.139312814215E+02
     -0.814814814815E+00      0.138993544637E+02      0.140381540631E+02      0.142302948948E+02      0.140559344739E+02
     -0.810810810811E+00      0.140282594959E+02      0.141592858353E+02      0.143477539043E+02      0.141784330785E+02
     -0.806806806807E+00      0.141557826873E+02      0.142786973481E+02      0.144622038027E+02      0.142988946127E+02
     -0.802802802803E+00      0.142818945003E+02      0.143964770311E+02      0.145743936080E+02      0.144175883798E+02
     -0.798798798799E+00      0.144067382460E+02      0.145128639478E+02      0.146850769883E+02      0.145348930607E+02
     -0.794794794795E+00      0.145305860205E+02      0.146282082745E+02      0.147949120463E+02      0.146512354471E+02
     -0.790790790791E+00      0.146537749697E+02      0.147429052858E+02      0.149043812142E+02      0.147670204899E+02
     -0.786786786787E+00      0.147766335384E+02      0.148573152272E+02      0.150137398943E+02      0.148825628866E+02
     -0.782782782783E+00      0.148994061452E+02      0.149716821257E+02      0.151229969705E+02      0.149980284138E+02
     -0.778778778779E+00      0.150221825219E+02      0.150860625588E+02      0.152319244932E+02      0.151133898580E+02
     -0.774774774775E+00      0.151448363365E+02      0.152002721355E+02      0.153400886546E+02      0.152283990422E+02
     -0.770770770771E+00      0.152669775797E+02      0.153138543953E+02      0.154468908927E+02      0.153425742892E+02
     -0.766766766767E+00      0.153879242519E+02      0.154260747412E+02      0.155516076567E+02      0.154552022166E+02
     -0.762762762763E+00      0.155066996667E+02      0.155359405459E+02      0.156534203136E+02      0.155653535087E+02
     -0.758758758759E+00      0.156220603934E+02      0.156422467005E+02      0.157514319341E+02      0.156719130093E+02
     -0.754754754755E+00      0.157325554559E+02      0.157436427330E+02      0.158446733285E+02      0.157736238391E+02
     -0.750750750751E+00      0.158366104867E+02      0.158387133022E+02      0.159321045700E+02      0.158691427863E+02
     -0.746746746747E+00      0.159326233258E+02      0.159260596667E+02      0.160126189903E+02      0.159571006609E+02
     -0.742742742743E+00      0.160190529785E+02      0.160043676088E+02      0.160850543297E+02      0.160361583057E+02
     -0.738738738739E+00      0.160944841920E+02      0.160724489037E+02      0.161482117638E+02      0.161050482865E+02
     -0.734734734735E+00      0.161576557276E+02      0.161292491173E+02      0.162008799299E+02      0.161625949249E+02
     -0.730730730731E+00      0.162074501554E+02      0.161738230364E+02      0.162418594902E+02      0.162077108940E+02
     -0.726726726727E+00      0.162428536769E+02      0.162052878676E+02      0.162699847298E+02      0.162393754248E+02
     -0.722722722723E+00      0.162629026934E+02      0.162227706892E+02      0.162841414404E+02      0.162566049410E+02
     -0.718718718719E+00      0.162666370198E+02      0.162253683936E+02      0.162832832558E+02      0.162584295564E+02
     -0.714714714715E+00      0.162530768676E+02      0.162121348712E+02      0.162664500947E+02      0.162438872778E+02
     -0.710710710711E+00      0.162212329615E+02      0.161821024446E+02      0.162327916708E+02      0.162120423590E+02
     -0.706706706707E+00      0.161701489152E+02      0.161343348881E+02      0.161815966211E+02      0.161620268081E+02
     -0.702702702703E+00      0.160989655072E+02      0.160680006544E+02      0.161123249822E+02      0.160930970479E+02
     -0.698698698699E+00      0.160069906645E+02      0.159824497268E+02      0.160246399162E+02      0.160046934358E+02
     -0.694694694695E+00      0.158937584341E+02      0.158772772229E+02      0.159184344189E+02      0.158964900253E+02
     -0.690690690691E+00      0.157590648575E+02      0.157523613226E+02      0.157938499245E+02      0.157684253682E+02
     -0.686686686687E+00      0.156029766623E+02      0.156078706515E+02      0.156512852595E+02      0.156207108578E+02
     -0.682682682683E+00      0.154258171873E+02      0.154442444128E+02      0.154913952735E+02      0.154538189579E+02
     -0.678678678679E+00      0.152281401012E+02      0.152621547868E+02      0.153150783063E+02      0.152684577314E+02
     -0.674674674675E+00      0.150107032958E+02      0.150624636443E+02      0.151234508869E+02      0.150655392757E+02
     -0.670670670671E+00      0.147744524753E+02      0.148461840040E+02      0.149178077049E+02      0.148461480614E+02
     -0.666666666667E+00      0.145205176922E+02      0.146144518519E+02      0.146995658834E+02      0.146115118092E+02
     -0.662662662663E+00      0.142502188809E+02      0.143685079144E+02      0.144701951576E+02      0.143629739843E+02
     -0.658658658659E+00      0.139650710083E+02      0.141096840020E+02      0.142311390239E+02      0.141019646781E+02
     -0.654654654655E+00      0.136667777541E+02      0.138393863268E+02      0.139837349685E+02      0.138299663498E+02
     -0.650650650651E+00      0.133572051267E+02      0.135590693072E+02      0.137291432357E+02      0.135484725565E+02
     -0.646646646647E+00      0.130383320584E+02      0.132701971305E+02      0.134682926775E+02      0.132589406222E+02
     -0.642642642643E+00      0.127121817191E+02      0.129741951698E+02      0.132018494008E+02      0.129627420966E+02
     -0.638638638639E+00      0.123807428021E+02      0.126723975145E+02      0.129302102172E+02      0.126611168446E+02
     -0.634634634635E+00      0.120458927560E+02      0.123659990514E+02      0.126535194264E+02      0.123551370779E+02
     -0.630630630631E+00      0.117093343181E+02      0.120560202197E+02      0.123717049623E+02      0.120456865000E+02
     -0.626626626627E+00      0.113725532784E+02      0.117432900541E+02      0.120845285962E+02      0.117334573096E+02
     -0.622622622623E+00      0.110368004112E+02      0.114284493116E+02      0.117916445163E+02      0.114189647464E+02
     -0.618618618619E+00      0.107030954431E+02      0.111119714648E+02      0.114926608773E+02      0.111025759284E+02
     -0.614614614615E+00      0.103722470271E+02      0.107941961600E+02      0.111871995895E+02      0.107845475922E+02
     -0.610610610611E+00      0.100448807109E+02      0.104753680526E+02      0.108749505299E+02      0.104650664311E+02
     -0.606606606607E+00      0.972146697273E+01      0.101556739859E+02      0.105557173880E+02      0.101442861155E+02
     -0.602602602603E+00      0.940234323372E+01      0.983527303292E+01      0.102294533799E+02      0.982235654886E+01
     -0.598598598599E+00      0.908772668484E+01      0.951431644735E+01      0.989628597898E+01      0.949944303706E+01
     -0.594594594595E+00      0.877771805203E+01      0.919295736402E+01      0.955653056374E+01      0.917573532660E+01
     -0.590590590591E+00      0.847229930992E+01      0.887135250476E+01      0.921069351905E+01      0.885144844458E+01
     -0.586586586587E+00      0.817133026973E+01      0.854965970194E+01      0.885946585850E+01      0.852681861005E+01
     -0.582582582583E+00      0.787454956018E+01      0.822803552225E+01      0.850370889214E+01      0.820209799152E+01
     -0.578578578579E+00      0.758158475434E+01      0.790663669267E+01      0.814443379085E+01      0.787755174596E+01
     -0.574574574575E+00      0.729197453544E+01      0.758562765205E+01      0.778277704050E+01      0.755345974266E+01
     -0.570570570571E+00      0.700520333185E+01      0.726519476961E+01      0.741997369848E+01      0.723012393331E+01
     -0.566566566567E+00      0.672074636217E+01      0.694556601431E+01      0.705733007887E+01      0.690788081845E+01
     -0.562562562563E+00      0.643812101817E+01      0.662703348248E+01      0.669619706934E+01      0.658711719000E+01
     -0.558558558559E+00      0.615693929370E+01      0.630997541079E+01      0.633794481459E+01      0.626828650636E+01
     -0.554554554555E+00      0.587695564006E+01      0.599487417184E+01      0.598393907686E+01      0.595192296292E+01
     -0.550550550551E+00      0.559810511822E+01      0.568232719994E+01      0.563551926874E+01      0.563865052897E+01
     -0.546546546547E+00      0.532052785453E+01      0.537304868257E+01      0.529397798483E+01      0.532918484064E+01
     -0.542542542543E+00      0.504457738101E+01      0.506786101067E+01      0.496054184233E+01      0.502432674467E+01
     -0.538538538539E+00      0.477081223929E+01      0.476767623376E+01      0.463635355551E+01      0.472494734285E+01
     -0.534534534535E+00      0.449997202270E+01      0.447346894573E+01      0.432245536724E+01      0.443196544522E+01
     -0.530530530531E+00      0.423294060066E+01      0.418624297583E+01      0.401977418020E+01      0.414631925223E+01
     -0.526526526527E+00      0.397070041352E+01      0.390699485643E+01      0.372910890463E+01      0.386893472486E+01
     -0.522522522523E+00      0.371428230975E+01      0.363667721871E+01      0.345112061754E+01      0.360069338200E+01
     -0.518518518519E+00      0.346471538474E+01      0.337616503871E+01      0.318632608529E+01      0.334240216958E+01
     -0.514514514515E+00      0.322298073861E+01      0.312622709621E+01      0.293509504347E+01      0.309476762610E+01
     -0.510510510511E+00      0.298997214991E+01      0.288750424225E+01      0.269765138862E+01      0.285837592693E+01
     -0.506506506507E+00      0.276646555414E+01      0.266049523840E+01      0.247407816270E+01      0.263367965175E+01
     -0.502502502503E+00      0.255309810689E+01      0.244555015821E+01      0.226432595319E+01      0.242099140610E+01
     -0.498498498498E+00      0.235035664760E+01      0.224287071670E+01      0.206822412739E+01      0.222048383056E+01
     -0.494494494494E+00      0.215857465036E+01      0.205251646487E+01      0.188549419075E+01      0.203219510199E+01
     -0.490490490490E+00      0.197793628228E+01      0.187441555530E+01      0.171576451154E+01      0.185603878304E+01
     -0.486486486486E+00      0.180848597155E+01      0.170837872922E+01      0.155858567821E+01      0.169181679300E+01
     -0.482482482482E+00      0.165014187134E+01      0.155411525182E+01      0.141344583392E+01      0.153923431903E+01
     -0.478478478478E+00      0.150271173276E+01      0.141124968573E+01      0.127978544578E+01      0.139791562143E+01
     -0.474474474474E+00      0.136590991443E+01      0.127933860071E+01      0.115701109346E+01      0.126741986953E+01
     -0.470470470470E+00      0.123937450865E+01      0.115788653581E+01      0.104450798903E+01      0.114725634450E+01
     -0.466466466466E+00      0.112268381905E+01      0.104636073752E+01      0.941651055842E+00      0.103689853747E+01
     -0.462462462462E+00      0.101537165840E+01      0.944204377048E+00      0.847814492390E+00      0.935796842611E+00
     -0.458458458458E+00      0.916941135242E+00      0.850848098067E+00      0.762379825355E+00      0.843389686222E+00
     -0.454454454454E+00      0.826876759234E+00      0.765719860075E+00      0.684742514318E+00      0.759113044542E+00
     -0.450450450450E+00      0.744654818018E+00      0.688253125838E+00      0.614317210728E+00      0.682408384861E+00
     -0.446446446446E+00      0.669752067629E+00      0.617893497647E+00      0.550541798545E+00      0.612729121274E+00
     -0.442442442442E+00      0.601652838133E+00      0.554103941798E+00      0.492880356389E+00      0.549545712107E+00
     -0.438438438438E+00      0.539854693132E+00      0.496368758489E+00      0.440825184176E+00      0.492349545266E+00
     -0.434434434434E+00      0.483872800798E+00      0.444196459648E+00      0.393898033540E+00      0.440655764662E+00
     -0.430430430430E+00      0.433243180125E+00      0.397121713849E+00      0.351650673103E+00      0.394005189026E+00
     -0.426426426426E+00      0.387524983145E+00      0.354706508299E+00      0.313664908680E+00      0.351965466708E+00
     -0.422422422422E+00      0.346301964839E+00      0.316540665303E+00      0.279552165989E+00      0.314131598710E+00
     -0.418418418418E+00      0.309183280008E+00      0.282241836260E+00      0.248952730516E+00      0.280125948928E+00
     -0.414414414414E+00      0.275803732016E+00      0.251455081363E+00      0.221534726420E+00      0.249597846600E+00
     -0.410410410410E+00      0.245823583406E+00      0.223852128571E+00      0.196992904328E+00      0.222222872102E+00
     -0.406406406406E+00      0.218928023738E+00      0.199130391640E+00      0.175047296715E+00      0.197701904031E+00
     -0.402402402402E+00      0.194826376175E+00      0.177011814361E+00      0.155441789563E+00      0.175759993367E+00
     -0.398398398398E+00      0.173251111599E+00      0.157241596757E+00      0.137942650064E+00      0.156145119474E+00
     -0.394394394394E+00      0.153956727569E+00      0.139586848960E+00      0.122337042412E+00      0.138626872980E+00
     -0.390390390390E+00      0.136718539347E+00      0.123835209735E+00      0.108431556970E+00      0.122995102017E+00
     -0.386386386386E+00      0.121331421318E+00      0.109793459072E+00      0.960507724573E-01      0.109058550949E+00
     -0.382382382382E+00      0.107608529562E+00      0.972861478766E-01      0.850358659198E-01      0.966435144527E-01
     -0.378378378378E+00      0.953800297902E-01      0.861542623875E-01      0.752432812946E-01      0.855925244908E-01
     -0.374374374374E+00      0.844918494163E-01      0.762539364288E-01      0.665434640143E-01      0.757630832865E-01
     -0.370370370370E+00      0.748044679026E-01      0.674552209143E-01      0.588196664206E-01      0.670264517458E-01
     -0.366366366366E+00      0.661917557501E-01      0.596409169524E-01      0.519668265612E-01      0.592664997545E-01
     -0.362362362362E+00      0.585398693571E-01      0.527054764524E-01      0.458905212087E-01      0.523786223394E-01
     -0.358358358358E+00      0.517462064442E-01      0.465539721597E-01      0.405059925794E-01      0.462687237278E-01
     -0.354354354354E+00      0.457184246987E-01      0.411011374949E-01      0.357372471819E-01      0.408522697918E-01
     -0.350350350350E+00      0.403735246734E-01      0.362704753694E-01      0.315162244435E-01      0.360534081621E-01
     -0.346346346346E+00      0.356369967087E-01      0.319934342329E-01      0.277820321933E-01      0.318041543783E-01
     -0.342342342342E+00      0.314420306714E-01      0.282086489334E-01      0.244802456885E-01      0.280436417644E-01
     -0.338338338338E+00      0.277287865777E-01      0.248612434880E-01      0.215622666218E-01      0.247174322292E-01
     -0.334334334334E+00      0.244437236333E-01      0.219021925396E-01      0.189847384142E-01      0.217768848624E-01
     -0.330330330330E+00      0.215389848580E-01      0.192877380789E-01      0.167090140503E-01      0.191785789957E-01
     -0.326326326326E+00      0.189718342250E-01      0.169788579148E-01      0.147006727419E-01      0.168837882939E-01
     -0.322322322322E+00      0.167041431116E-01      0.149407823621E-01      0.129290817831E-01      0.148580024189E-01
     -0.318318318318E+00      0.147019228079E-01      0.131425556567E-01      0.113670000805E-01      0.130704928484E-01
     -0.314314314314E+00      0.129348998466E-01      0.115566387042E-01      0.999021999058E-02      0.114939195138E-01
     -0.310310310310E+00      0.113761309785E-01      0.101585498863E-01      0.877724426377E-02      0.101039750429E-01
     -0.306306306306E+00      0.100016547173E-01      0.892654080585E-02      0.770899507598E-02      0.887906353305E-02
     -0.302302302302E+00      0.879017650803E-02      0.784130400679E-02      0.676855231460E-02      0.780001094314E-02
     -0.298298298298E+00      0.772278471215E-02      0.688570988786E-02      0.594091847609E-02      0.684980435870E-02
     -0.294294294294E+00      0.678269476430E-02      0.604457020088E-02      0.521280771891E-02      0.601335756136E-02
     -0.290290290290E+00      0.595501901350E-02      0.530442570667E-02      0.457245679949E-02      0.527730050655E-02
     -0.286286286286E+00      0.522655992921E-02      0.465335573648E-02      0.400945579560E-02      0.462979048710E-02
     -0.282282282282E+00      0.458562451485E-02      0.408080757888E-02      0.351459669163E-02      0.406034292845E-02
     -0.278278278278E+00      0.402185793206E-02      0.357744377622E-02      0.307973806021E-02      0.355967992283E-02
     -0.274274274274E+00      0.352609449423E-02      0.313500557319E-02      0.269768422808E-02      0.311959476517E-02
     -0.270270270270E+00      0.309022433617E-02      0.274619090863E-02      0.236207745530E-02      0.273283090003E-02
     -0.266266266266E+00      0.270707420978E-02      0.240454548345E-02      0.206730179223E-02      0.239297382849E-02
     -0.262262262262E+00      0.237030098972E-02      0.210436557072E-02      0.180839740359E-02      0.209435465468E-02
     -0.258258258258E+00      0.207429660264E-02      0.184061136027E-02      0.158098426773E-02      0.183196407688E-02
     -0.254254254254E+00      0.181410321622E-02      0.160882975132E-02      0.138119427160E-02      0.160137574638E-02
     -0.250250250250E+00      0.158533764449E-02      0.140508562326E-02      0.120561083199E-02      0.139867803325E-02
     -0.246246246246E+00      0.138412404517E-02      0.122590073368E-02      0.105121528296E-02      0.122041335394E-02
     -0.242242242242E+00      0.120703410834E-02      0.106819951439E-02      0.915339384715E-03      0.106352433582E-02
     -0.238238238238E+00      0.105103407057E-02      0.929261172980E-03      0.795623436776E-03      0.925306226776E-03
     -0.234234234234E+00      0.913438043124E-03      0.806677665017E-03      0.689979628588E-03      0.803365112243E-03
     -0.230230230230E+00      0.791867331751E-03      0.698317297135E-03      0.596560445912E-03      0.695581691599E-03
     -0.226226226226E+00      0.684215661281E-03      0.602293965825E-03      0.513732186734E-03      0.600080604613E-03
     -0.222222222222E+00      0.588620518609E-03      0.516942345962E-03      0.440053937102E-03      0.515205600558E-03
     -0.218218218218E+00      0.503441195837E-03      0.440799713420E-03      0.374262713999E-03      0.439501207752E-03
     -0.214214214214E+00      0.427244528601E-03      0.372595478582E-03      0.315265856881E-03      0.371701954688E-03
     -0.210210210210E+00      0.358799688432E-03      0.311249795398E-03      0.262142016284E-03      0.310730500038E-03
     -0.206206206206E+00      0.297083476636E-03      0.255882512926E-03      0.214151961902E-03      0.255705983821E-03
     -0.202202202202E+00      0.241296940413E-03      0.205832740136E-03      0.170759393518E-03      0.205963024689E-03
     -0.198198198198E+00      0.190892103632E-03      0.160686663039E-03      0.131659230539E-03      0.161079332403E-03
     -0.194194194194E+00      0.145603411855E-03      0.120306314213E-03      0.968057751900E-04      0.120905167086E-03
     -0.190190190190E+00      0.105471925764E-03      0.848449898068E-04      0.664259220101E-04      0.855809458601E-04
     -0.186186186186E+00      0.708429397736E-04      0.547285088919E-04      0.409959297189E-04      0.555224594615E-04
     -0.182182182182E+00      0.423141820846E-04      0.305813681333E-04      0.211605346947E-04      0.313520283042E-04
     -0.178178178178E+00      0.206190723942E-04      0.130901241217E-04      0.758827857680E-05      0.137658250309E-04
     -0.174174174174E+00      0.645219699849E-05      0.282436695061E-05      0.788391934883E-06      0.335498529466E-05
     -0.170170170170E+00      0.276536814561E-06      0.664318143464E-07      0.948097276185E-06      0.430355301697E-06
     -0.166166166166E+00      0.217562568383E-05      0.471220965328E-05      0.785763730694E-05      0.491515754802E-05
     -0.162162162162E+00      0.118082194359E-04      0.162826226504E-04      0.209573666246E-04      0.163494029036E-04
     -0.158158158158E+00      0.284843884448E-04      0.340388866720E-04      0.394842378757E-04      0.340025043308E-04
     -0.154154154154E+00      0.513311800771E-04      0.571537002512E-04      0.626540324048E-04      0.570463042444E-04
     -0.150150150150E+00      0.794843792855E-04      0.848782699057E-04      0.898154785100E-04      0.847260425671E-04
     -0.146146146146E+00      0.112246587889E-03      0.116662239722E-03      0.120542846552E-03      0.116483891388E-03
     -0.142142142142E+00      0.149181034231E-03      0.152213059430E-03      0.154667390975E-03      0.152020494879E-03
     -0.138138138138E+00      0.190142370810E-03      0.191504957161E-03      0.192266991734E-03      0.191304773235E-03
     -0.134134134134E+00      0.235264184235E-03      0.234757692772E-03      0.233636236636E-03      0.234552704548E-03
     -0.130130130130E+00      0.284926126010E-03      0.282404047119E-03      0.279253374441E-03      0.282194515857E-03
     -0.126126126126E+00      0.339717932190E-03      0.335058760446E-03      0.329753111181E-03      0.334843267939E-03
     -0.122122122122E+00      0.400409969690E-03      0.393495241637E-03      0.385908584005E-03      0.393271265111E-03
     -0.118118118118E+00      0.467933987899E-03      0.458631922959E-03      0.448622655256E-03      0.458396188705E-03
     -0.114114114114E+00      0.543374289768E-03      0.531527779623E-03      0.518927321831E-03      0.531276463741E-03
     -0.110110110110E+00      0.627968034507E-03      0.613385650960E-03      0.597989748748E-03      0.613114478071E-03
     -0.106106106106E+00      0.723113043579E-03      0.705561925109E-03      0.687123630492E-03      0.705266199727E-03
     -0.102102102102E+00      0.830381682089E-03      0.809581416731E-03      0.787804931321E-03      0.809256010047E-03
     -0.980980980981E-01      0.951539766558E-03      0.927156623222E-03      0.901691399092E-03      0.926795929624E-03
     -0.940940940941E-01      0.108856983086E-02      0.106021087407E-02      0.103064553348E-02      0.105980874614E-02
     -0.900900900901E-01      0.124369840071E-02      0.121090515396E-02      0.117676090850E-02      0.121045482106E-02
     -0.860860860861E-01      0.141942717329E-02      0.138166858266E-02      0.134239191140E-02      0.138116255578E-02
     -0.820820820821E-01      0.161856818031E-02      0.157523268373E-02      0.153018707963E-02      0.157466264789E-02
     -0.780780780781E-01      0.184428314705E-02      0.179466968543E-02      0.174312630641E-02      0.179402637963E-02
     -0.740740740741E-01      0.210012735936E-02      0.204343518025E-02      0.198456225443E-02      0.204270826468E-02
     -0.700700700701E-01      0.239009842750E-02      0.232541553607E-02      0.225826637281E-02      0.232459344546E-02
     -0.660660660661E-01      0.271869039612E-02      0.264498050473E-02      0.256847995917E-02      0.264405028667E-02
     -0.620620620621E-01      0.309095370097E-02      0.300704152041E-02      0.291997074997E-02      0.300598865712E-02
     -0.580580580581E-01      0.351256151587E-02      0.341711621971E-02      0.331809555900E-02      0.341592443153E-02
     -0.540540540541E-01      0.398988307150E-02      0.388139975139E-02      0.376886951772E-02      0.388005078020E-02
     -0.500500500501E-01      0.453006456055E-02      0.440684347429E-02      0.427904249990E-02      0.440531684492E-02
     -0.460460460460E-01      0.514111827046E-02      0.500124166868E-02      0.485618333894E-02      0.499951442603E-02
     -0.420420420420E-01      0.583202060600E-02      0.567332690555E-02      0.550877246507E-02      0.567137332554E-02
     -0.380380380380E-01      0.661281967621E-02      0.643287473103E-02      0.624630360141E-02      0.643066600288E-02
     -0.340340340340E-01      0.749475312164E-02      0.729081832435E-02      0.707939515994E-02      0.728832220197E-02
     -0.300300300300E-01      0.849037684613E-02      0.825937377650E-02      0.801991196715E-02      0.825655419659E-02
     -0.260260260260E-01      0.961370528737E-02      0.935217660805E-02      0.908109792208E-02      0.934899327250E-02
     -0.220220220220E-01      0.108803638094E-01      0.105844300949E-01      0.102777201412E-01      0.105808380152E-01
     -0.180180180180E-01      0.123077537206E-01      0.119730658941E-01      0.116262250707E-01      0.119690148951E-01
     -0.140140140140E-01      0.139152303080E-01      0.135369173517E-01      0.131449069406E-01      0.135323515334E-01
     -0.100100100100E-01      0.157242941233E-01      0.152969057257E-01      0.148540887889E-01      0.152917628793E-01
     -0.600600600601E-02      0.177587955503E-01      0.172762393544E-01      0.167763160924E-01      0.172704503324E-01
     -0.200200200200E-02      0.200451524147E-01      0.195006255440E-01      0.189365627847E-01      0.194941135811E-01
      0.200200200200E-02      0.226125800556E-01      0.219984946135E-01      0.213624491243E-01      0.219911745978E-01
      0.600600600601E-02      0.254933328469E-01      0.248012351185E-01      0.240844704651E-01      0.247930128102E-01
      0.100100100100E-01      0.287229556192E-01      0.279434387537E-01      0.271362354799E-01      0.279342099509E-01
      0.140140140140E-01      0.323405427706E-01      0.314631527906E-01      0.305547117585E-01      0.314528024399E-01
      0.180180180180E-01      0.363890020506E-01      0.354021371243E-01      0.343804759449E-01      0.353905383733E-01
      0.220220220220E-01      0.409153190183E-01      0.398061220519E-01      0.386579646525E-01      0.397931352409E-01
      0.260260260260E-01      0.459708170065E-01      0.447250617658E-01      0.434357212869E-01      0.447105333531E-01
      0.300300300300E-01      0.516114060217E-01      0.502133771882E-01      0.487666325859E-01      0.501971385986E-01
      0.340340340340E-01      0.578978123595E-01      0.563301801659E-01      0.547081471235E-01      0.563120465496E-01
      0.380380380380E-01      0.648957787783E-01      0.631394691680E-01      0.613224661908E-01      0.631192380457E-01
      0.420420420420E-01      0.726762228266E-01      0.707102844462E-01      0.686766953446E-01      0.706877342058E-01
      0.460460460460E-01      0.813153383405E-01      0.791168081147E-01      0.768429424623E-01      0.790916963058E-01
      0.500500500501E-01      0.908946222003E-01      0.884383917644E-01      0.858983453722E-01      0.884104531123E-01
      0.540540540541E-01      0.101500805161E+00      0.987594910543E-01      0.959250090134E-01      0.987284350763E-01
      0.580580580581E-01      0.113225661976E+00      0.110169483231E+00      0.107009828663E+00      0.110134991290E+00
      0.620620620621E-01      0.126165672178E+00      0.122762339794E+00      0.119244172088E+00      0.122724061353E+00
      0.660660660661E-01      0.140421498857E+00      0.136636122634E+00      0.132723389656E+00      0.136593670383E+00
      0.700700700701E-01      0.156097248813E+00      0.151892268110E+00      0.147546117596E+00      0.151845211506E+00
      0.740740740741E-01      0.173299473717E+00      0.168634619955E+00      0.163813336053E+00      0.168582476575E+00
      0.780780780781E-01      0.192135868946E+00      0.186968169010E+00      0.181627140650E+00      0.186910392869E+00
