             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.942942942943E+00      0.210586803123E+16      0.210586803123E+16      0.210586803123E+16      0.210586803123E+16
     -0.938938938939E+00      0.209020839405E+16      0.209020839405E+16      0.209020839405E+16      0.209020839405E+16
     -0.934934934935E+00      0.207522586990E+16      0.207522586990E+16      0.207522586990E+16      0.207522586990E+16
     -0.930930930931E+00      0.206095562700E+16      0.206095562700E+16      0.206095562700E+16      0.206095562700E+16
     -0.926926926927E+00      0.204740072061E+16      0.204740072061E+16      0.204740072061E+16      0.204740072061E+16
     -0.922922922923E+00      0.203451930141E+16      0.203451930141E+16      0.203451930141E+16      0.203451930141E+16
     -0.918918918919E+00      0.202221566402E+16      0.202221566402E+16      0.202221566402E+16      0.202221566402E+16
     -0.914914914915E+00      0.201033730857E+16      0.201033730857E+16      0.201033730857E+16      0.201033730857E+16
     -0.910910910911E+00      0.199867980397E+16      0.199867980397E+16      0.199867980397E+16      0.199867980397E+16
     -0.906906906907E+00      0.198700037858E+16      0.198700037858E+16      0.198700037858E+16      0.198700037858E+16
     -0.902902902903E+00      0.197503975425E+16      0.197503975425E+16      0.197503975425E+16      0.197503975425E+16
     -0.898898898899E+00      0.196254991310E+16      0.196254991310E+16      0.196254991310E+16      0.196254991310E+16
     -0.894894894895E+00      0.194932362719E+16      0.194932362719E+16      0.194932362719E+16      0.194932362719E+16
     -0.890890890891E+00      0.193522027861E+16      0.193522027861E+16      0.193522027861E+16      0.193522027861E+16
     -0.886886886887E+00      0.192018235917E+16      0.192018235917E+16      0.192018235917E+16      0.192018235917E+16
     -0.882882882883E+00      0.190423842508E+16      0.190423842508E+16      0.190423842508E+16      0.190423842508E+16
     -0.878878878879E+00      0.188749106625E+16      0.188749106625E+16      0.188749106625E+16      0.188749106625E+16
     -0.874874874875E+00      0.187009197055E+16      0.187009197055E+16      0.187009197055E+16      0.187009197055E+16
     -0.870870870871E+00      0.185220942296E+16      0.185220942296E+16      0.185220942296E+16      0.185220942296E+16
     -0.866866866867E+00      0.183399560045E+16      0.183399560045E+16      0.183399560045E+16      0.183399560045E+16
     -0.862862862863E+00      0.181556119952E+16      0.181556119952E+16      0.181556119952E+16      0.181556119952E+16
     -0.858858858859E+00      0.179696320697E+16      0.179696320697E+16      0.179696320697E+16      0.179696320697E+16
     -0.854854854855E+00      0.177820844864E+16      0.177820844864E+16      0.177820844864E+16      0.177820844864E+16
     -0.850850850851E+00      0.175927172149E+16      0.175927172149E+16      0.175927172149E+16      0.175927172149E+16
     -0.846846846847E+00      0.174012375934E+16      0.174012375934E+16      0.174012375934E+16      0.174012375934E+16
     -0.842842842843E+00      0.172076186355E+16      0.172076186355E+16      0.172076186355E+16      0.172076186355E+16
     -0.838838838839E+00      0.170123536262E+16      0.170123536262E+16      0.170123536262E+16      0.170123536262E+16
     -0.834834834835E+00      0.168165934362E+16      0.168165934362E+16      0.168165934362E+16      0.168165934362E+16
     -0.830830830831E+00      0.166221300378E+16      0.166221300378E+16      0.166221300378E+16      0.166221300378E+16
     -0.826826826827E+00      0.164312271592E+16      0.164312271592E+16      0.164312271592E+16      0.164312271592E+16
     -0.822822822823E+00      0.162463346563E+16      0.162463346563E+16      0.162463346563E+16      0.162463346563E+16
     -0.818818818819E+00      0.160697478533E+16      0.160697478533E+16      0.160697478533E+16      0.160697478533E+16
     -0.814814814815E+00      0.159032815682E+16      0.159032815682E+16      0.159032815682E+16      0.159032815682E+16
     -0.810810810811E+00      0.157480206557E+16      0.157480206557E+16      0.157480206557E+16      0.157480206557E+16
     -0.806806806807E+00      0.156041886685E+16      0.156041886685E+16      0.156041886685E+16      0.156041886685E+16
     -0.802802802803E+00      0.154711497678E+16      0.154711497678E+16      0.154711497678E+16      0.154711497678E+16
     -0.798798798799E+00      0.153475324327E+16      0.153475324327E+16      0.153475324327E+16      0.153475324327E+16
     -0.794794794795E+00      0.152314418861E+16      0.152314418861E+16      0.152314418861E+16      0.152314418861E+16
     -0.790790790791E+00      0.151207150129E+16      0.151207150129E+16      0.151207150129E+16      0.151207150129E+16
     -0.786786786787E+00      0.150131688369E+16      0.150131688369E+16      0.150131688369E+16      0.150131688369E+16
     -0.782782782783E+00      0.149068013825E+16      0.149068013825E+16      0.149068013825E+16      0.149068013825E+16
     -0.778778778779E+00      0.147999197285E+16      0.147999197285E+16      0.147999197285E+16      0.147999197285E+16
     -0.774774774775E+00      0.146911899313E+16      0.146911899313E+16      0.146911899313E+16      0.146911899313E+16
     -0.770770770771E+00      0.145796218080E+16      0.145796218080E+16      0.145796218080E+16      0.145796218080E+16
     -0.766766766767E+00      0.144645135397E+16      0.144645135397E+16      0.144645135397E+16      0.144645135397E+16
     -0.762762762763E+00      0.143453841845E+16      0.143453841845E+16      0.143453841845E+16      0.143453841845E+16
     -0.758758758759E+00      0.142219170137E+16      0.142219170137E+16      0.142219170137E+16      0.142219170137E+16
     -0.754754754755E+00      0.140939261266E+16      0.140939261266E+16      0.140939261266E+16      0.140939261266E+16
     -0.750750750751E+00      0.139613471958E+16      0.139613471958E+16      0.139613471958E+16      0.139613471958E+16
     -0.746746746747E+00      0.138242440996E+16      0.138242440996E+16      0.138242440996E+16      0.138242440996E+16
     -0.742742742743E+00      0.136828187842E+16      0.136828187842E+16      0.136828187842E+16      0.136828187842E+16
     -0.738738738739E+00      0.135374122840E+16      0.135374122840E+16      0.135374122840E+16      0.135374122840E+16
     -0.734734734735E+00      0.133884892330E+16      0.133884892330E+16      0.133884892330E+16      0.133884892330E+16
     -0.730730730731E+00      0.132366043683E+16      0.132366043683E+16      0.132366043683E+16      0.132366043683E+16
     -0.726726726727E+00      0.130823553377E+16      0.130823553377E+16      0.130823553377E+16      0.130823553377E+16
     -0.722722722723E+00      0.129263300346E+16      0.129263300346E+16      0.129263300346E+16      0.129263300346E+16
     -0.718718718719E+00      0.127690581186E+16      0.127690581186E+16      0.127690581186E+16      0.127690581186E+16
     -0.714714714715E+00      0.126109756464E+16      0.126109756464E+16      0.126109756464E+16      0.126109756464E+16
     -0.710710710711E+00      0.124524096485E+16      0.124524096485E+16      0.124524096485E+16      0.124524096485E+16
     -0.706706706707E+00      0.122935867515E+16      0.122935867515E+16      0.122935867515E+16      0.122935867515E+16
     -0.702702702703E+00      0.121346668013E+16      0.121346668013E+16      0.121346668013E+16      0.121346668013E+16
     -0.698698698699E+00      0.119757986668E+16      0.119757986668E+16      0.119757986668E+16      0.119757986668E+16
     -0.694694694695E+00      0.118171907647E+16      0.118171907647E+16      0.118171907647E+16      0.118171907647E+16
     -0.690690690691E+00      0.116591837609E+16      0.116591837609E+16      0.116591837609E+16      0.116591837609E+16
     -0.686686686687E+00      0.115023087323E+16      0.115023087323E+16      0.115023087323E+16      0.115023087323E+16
     -0.682682682683E+00      0.113473128790E+16      0.113473128790E+16      0.113473128790E+16      0.113473128790E+16
     -0.678678678679E+00      0.111951384650E+16      0.111951384650E+16      0.111951384650E+16      0.111951384650E+16
     -0.674674674675E+00      0.110468494791E+16      0.110468494791E+16      0.110468494791E+16      0.110468494791E+16
     -0.670670670671E+00      0.109035129050E+16      0.109035129050E+16      0.109035129050E+16      0.109035129050E+16
     -0.666666666667E+00      0.107660540828E+16      0.107660540828E+16      0.107660540828E+16      0.107660540828E+16
     -0.662662662663E+00      0.106351144088E+16      0.106351144088E+16      0.106351144088E+16      0.106351144088E+16
     -0.658658658659E+00      0.105109415296E+16      0.105109415296E+16      0.105109415296E+16      0.105109415296E+16
     -0.654654654655E+00      0.103933362578E+16      0.103933362578E+16      0.103933362578E+16      0.103933362578E+16
     -0.650650650651E+00      0.102816680414E+16      0.102816680414E+16      0.102816680414E+16      0.102816680414E+16
     -0.646646646647E+00      0.101749551456E+16      0.101749551456E+16      0.101749551456E+16      0.101749551456E+16
     -0.642642642643E+00      0.100719907806E+16      0.100719907806E+16      0.100719907806E+16      0.100719907806E+16
     -0.638638638639E+00      0.997148612392E+15      0.997148612392E+15      0.997148612392E+15      0.997148612392E+15
     -0.634634634635E+00      0.987219840264E+15      0.987219840264E+15      0.987219840264E+15      0.987219840264E+15
     -0.630630630631E+00      0.977301798312E+15      0.977301798313E+15      0.977301798313E+15      0.977301798313E+15
     -0.626626626627E+00      0.967300146475E+15      0.967300146475E+15      0.967300146475E+15      0.967300146475E+15
     -0.622622622623E+00      0.957135449525E+15      0.957135449525E+15      0.957135449525E+15      0.957135449525E+15
     -0.618618618619E+00      0.946738329019E+15      0.946738329019E+15      0.946738329019E+15      0.946738329019E+15
     -0.614614614615E+00      0.936044265276E+15      0.936044265276E+15      0.936044265276E+15      0.936044265276E+15
     -0.610610610611E+00      0.924990759689E+15      0.924990759689E+15      0.924990759689E+15      0.924990759689E+15
     -0.606606606607E+00      0.913518564572E+15      0.913518564572E+15      0.913518564572E+15      0.913518564572E+15
     -0.602602602603E+00      0.901577099187E+15      0.901577099187E+15      0.901577099187E+15      0.901577099187E+15
     -0.598598598599E+00      0.889132557270E+15      0.889132557270E+15      0.889132557270E+15      0.889132557270E+15
     -0.594594594595E+00      0.876176144035E+15      0.876176144035E+15      0.876176144035E+15      0.876176144035E+15
     -0.590590590591E+00      0.862729729003E+15      0.862729729003E+15      0.862729729003E+15      0.862729729003E+15
     -0.586586586587E+00      0.848846996422E+15      0.848846996422E+15      0.848846996422E+15      0.848846996422E+15
     -0.582582582583E+00      0.834609601943E+15      0.834609601943E+15      0.834609601943E+15      0.834609601943E+15
     -0.578578578579E+00      0.820119368056E+15      0.820119368056E+15      0.820119368056E+15      0.820119368056E+15
     -0.574574574575E+00      0.805488630476E+15      0.805488630476E+15      0.805488630476E+15      0.805488630476E+15
     -0.570570570571E+00      0.790831139958E+15      0.790831139958E+15      0.790831139958E+15      0.790831139958E+15
     -0.566566566567E+00      0.776255396133E+15      0.776255396133E+15      0.776255396133E+15      0.776255396133E+15
     -0.562562562563E+00      0.761861201821E+15      0.761861201821E+15      0.761861201821E+15      0.761861201821E+15
     -0.558558558559E+00      0.747739007812E+15      0.747739007812E+15      0.747739007812E+15      0.747739007812E+15
     -0.554554554555E+00      0.733970700308E+15      0.733970700308E+15      0.733970700308E+15      0.733970700308E+15
     -0.550550550551E+00      0.720630150517E+15      0.720630150517E+15      0.720630150517E+15      0.720630150517E+15
     -0.546546546547E+00      0.707782155354E+15      0.707782155354E+15      0.707782155354E+15      0.707782155354E+15
     -0.542542542543E+00      0.695479184113E+15      0.695479184113E+15      0.695479184113E+15      0.695479184113E+15
     -0.538538538539E+00      0.683756300740E+15      0.683756300740E+15      0.683756300740E+15      0.683756300740E+15
     -0.534534534535E+00      0.672625425506E+15      0.672625425506E+15      0.672625425506E+15      0.672625425506E+15
     -0.530530530531E+00      0.662070495193E+15      0.662070495193E+15      0.662070495193E+15      0.662070495193E+15
     -0.526526526527E+00      0.652044994007E+15      0.652044994007E+15      0.652044994007E+15      0.652044994007E+15
     -0.522522522523E+00      0.642472830275E+15      0.642472830275E+15      0.642472830275E+15      0.642472830275E+15
     -0.518518518519E+00      0.633252803630E+15      0.633252803630E+15      0.633252803630E+15      0.633252803630E+15
     -0.514514514515E+00      0.624266155514E+15      0.624266155514E+15      0.624266155514E+15      0.624266155514E+15
     -0.510510510511E+00      0.615386106088E+15      0.615386106088E+15      0.615386106088E+15      0.615386106088E+15
     -0.506506506507E+00      0.606487969329E+15      0.606487969329E+15      0.606487969329E+15      0.606487969329E+15
     -0.502502502503E+00      0.597458441183E+15      0.597458441183E+15      0.597458441183E+15      0.597458441183E+15
     -0.498498498498E+00      0.588202935567E+15      0.588202935567E+15      0.588202935567E+15      0.588202935567E+15
     -0.494494494494E+00      0.578650308755E+15      0.578650308755E+15      0.578650308755E+15      0.578650308755E+15
     -0.490490490490E+00      0.568754843883E+15      0.568754843883E+15      0.568754843883E+15      0.568754843883E+15
     -0.486486486486E+00      0.558495839868E+15      0.558495839868E+15      0.558495839868E+15      0.558495839868E+15
     -0.482482482482E+00      0.547875460096E+15      0.547875460096E+15      0.547875460096E+15      0.547875460096E+15
     -0.478478478478E+00      0.536915589265E+15      0.536915589265E+15      0.536915589265E+15      0.536915589265E+15
     -0.474474474474E+00      0.525654330335E+15      0.525654330335E+15      0.525654330335E+15      0.525654330335E+15
     -0.470470470470E+00      0.514142523275E+15      0.514142523275E+15      0.514142523275E+15      0.514142523275E+15
     -0.466466466466E+00      0.502440402135E+15      0.502440402135E+15      0.502440402135E+15      0.502440402135E+15
     -0.462462462462E+00      0.490614341113E+15      0.490614341113E+15      0.490614341113E+15      0.490614341113E+15
     -0.458458458458E+00      0.478733631517E+15      0.478733631517E+15      0.478733631517E+15      0.478733631517E+15
     -0.454454454454E+00      0.466867352317E+15      0.466867352317E+15      0.466867352317E+15      0.466867352317E+15
     -0.450450450450E+00      0.455081548128E+15      0.455081548128E+15      0.455081548128E+15      0.455081548128E+15
     -0.446446446446E+00      0.443436992908E+15      0.443436992908E+15      0.443436992908E+15      0.443436992908E+15
     -0.442442442442E+00      0.431987726642E+15      0.431987726642E+15      0.431987726642E+15      0.431987726642E+15
     -0.438438438438E+00      0.420780327116E+15      0.420780327116E+15      0.420780327116E+15      0.420780327116E+15
     -0.434434434434E+00      0.409853623925E+15      0.409853623925E+15      0.409853623925E+15      0.409853623925E+15
     -0.430430430430E+00      0.399238410228E+15      0.399238410228E+15      0.399238410228E+15      0.399238410228E+15
     -0.426426426426E+00      0.388956750240E+15      0.388956750240E+15      0.388956750240E+15      0.388956750240E+15
     -0.422422422422E+00      0.379020716861E+15      0.379020716861E+15      0.379020716861E+15      0.379020716861E+15
     -0.418418418418E+00      0.369430731596E+15      0.369430731596E+15      0.369430731596E+15      0.369430731596E+15
     -0.414414414414E+00      0.360173978682E+15      0.360173978682E+15      0.360173978682E+15      0.360173978682E+15
     -0.410410410410E+00      0.351223506168E+15      0.351223506168E+15      0.351223506168E+15      0.351223506168E+15
     -0.406406406406E+00      0.342538556112E+15      0.342538556112E+15      0.342538556112E+15      0.342538556112E+15
     -0.402402402402E+00      0.334066415598E+15      0.334066415598E+15      0.334066415598E+15      0.334066415598E+15
     -0.398398398398E+00      0.325745741935E+15      0.325745741935E+15      0.325745741935E+15      0.325745741935E+15
     -0.394394394394E+00      0.317511000179E+15      0.317511000179E+15      0.317511000179E+15      0.317511000179E+15
     -0.390390390390E+00      0.309297446266E+15      0.309297446266E+15      0.309297446266E+15      0.309297446266E+15
     -0.386386386386E+00      0.301046033205E+15      0.301046033205E+15      0.301046033205E+15      0.301046033205E+15
     -0.382382382382E+00      0.292707697418E+15      0.292707697418E+15      0.292707697418E+15      0.292707697418E+15
     -0.378378378378E+00      0.284246646880E+15      0.284246646880E+15      0.284246646880E+15      0.284246646880E+15
     -0.374374374374E+00      0.275642458996E+15      0.275642458996E+15      0.275642458996E+15      0.275642458996E+15
     -0.370370370370E+00      0.266890952413E+15      0.266890952413E+15      0.266890952413E+15      0.266890952413E+15
     -0.366366366366E+00      0.258003897495E+15      0.258003897495E+15      0.258003897495E+15      0.258003897495E+15
     -0.362362362362E+00      0.249007678330E+15      0.249007678330E+15      0.249007678330E+15      0.249007678330E+15
     -0.358358358358E+00      0.239941038223E+15      0.239941038223E+15      0.239941038223E+15      0.239941038223E+15
     -0.354354354354E+00      0.230852059391E+15      0.230852059391E+15      0.230852059391E+15      0.230852059391E+15
     -0.350350350350E+00      0.221794564610E+15      0.221794564610E+15      0.221794564610E+15      0.221794564610E+15
     -0.346346346346E+00      0.212824183834E+15      0.212824183834E+15      0.212824183834E+15      0.212824183834E+15
     -0.342342342342E+00      0.203994384744E+15      0.203994384744E+15      0.203994384744E+15      0.203994384744E+15
     -0.338338338338E+00      0.195352797819E+15      0.195352797819E+15      0.195352797819E+15      0.195352797819E+15
     -0.334334334334E+00      0.186938154909E+15      0.186938154909E+15      0.186938154909E+15      0.186938154909E+15
     -0.330330330330E+00      0.178778101978E+15      0.178778101978E+15      0.178778101978E+15      0.178778101978E+15
     -0.326326326326E+00      0.170888053245E+15      0.170888053245E+15      0.170888053245E+15      0.170888053245E+15
     -0.322322322322E+00      0.163271144881E+15      0.163271144881E+15      0.163271144881E+15      0.163271144881E+15
     -0.318318318318E+00      0.155919239125E+15      0.155919239125E+15      0.155919239125E+15      0.155919239125E+15
     -0.314314314314E+00      0.148814834638E+15      0.148814834638E+15      0.148814834638E+15      0.148814834638E+15
     -0.310310310310E+00      0.141933661190E+15      0.141933661190E+15      0.141933661190E+15      0.141933661190E+15
     -0.306306306306E+00      0.135247680435E+15      0.135247680435E+15      0.135247680435E+15      0.135247680435E+15
     -0.302302302302E+00      0.128728185729E+15      0.128728185729E+15      0.128728185729E+15      0.128728185729E+15
     -0.298298298298E+00      0.122348698917E+15      0.122348698917E+15      0.122348698917E+15      0.122348698917E+15
     -0.294294294294E+00      0.116087402071E+15      0.116087402071E+15      0.116087402071E+15      0.116087402071E+15
     -0.290290290290E+00      0.109928910711E+15      0.109928910711E+15      0.109928910711E+15      0.109928910711E+15
     -0.286286286286E+00      0.103865278766E+15      0.103865278766E+15      0.103865278766E+15      0.103865278766E+15
     -0.282282282282E+00      0.978962105034E+14      0.978962105034E+14      0.978962105034E+14      0.978962105034E+14
     -0.278278278278E+00      0.920285315436E+14      0.920285315436E+14      0.920285315436E+14      0.920285315436E+14
     -0.274274274274E+00      0.862750363489E+14      0.862750363489E+14      0.862750363488E+14      0.862750363488E+14
     -0.270270270270E+00      0.806528819076E+14      0.806528819076E+14      0.806528819076E+14      0.806528819076E+14
     -0.266266266266E+00      0.751817333363E+14      0.751817333363E+14      0.751817333363E+14      0.751817333363E+14
     -0.262262262262E+00      0.698818804237E+14      0.698818804237E+14      0.698818804237E+14      0.698818804237E+14
     -0.258258258258E+00      0.647725292102E+14      0.647725292102E+14      0.647725292102E+14      0.647725292102E+14
     -0.254254254254E+00      0.598704297121E+14      0.598704297121E+14      0.598704297121E+14      0.598704297121E+14
     -0.250250250250E+00      0.551889379843E+14      0.551889379843E+14      0.551889379843E+14      0.551889379843E+14
     -0.246246246246E+00      0.507375413272E+14      0.507375413272E+14      0.507375413272E+14      0.507375413272E+14
     -0.242242242242E+00      0.465218131498E+14      0.465218131498E+14      0.465218131498E+14      0.465218131498E+14
     -0.238238238238E+00      0.425437178429E+14      0.425437178429E+14      0.425437178429E+14      0.425437178429E+14
     -0.234234234234E+00      0.388021591426E+14      0.388021591426E+14      0.388021591426E+14      0.388021591426E+14
     -0.230230230230E+00      0.352936566442E+14      0.352936566442E+14      0.352936566442E+14      0.352936566442E+14
     -0.226226226226E+00      0.320130413528E+14      0.320130413528E+14      0.320130413528E+14      0.320130413528E+14
     -0.222222222222E+00      0.289540793354E+14      0.289540793354E+14      0.289540793354E+14      0.289540793354E+14
     -0.218218218218E+00      0.261099595861E+14      0.261099595861E+14      0.261099595861E+14      0.261099595861E+14
     -0.214214214214E+00      0.234736144021E+14      0.234736144021E+14      0.234736144021E+14      0.234736144021E+14
     -0.210210210210E+00      0.210378730049E+14      0.210378730049E+14      0.210378730049E+14      0.210378730049E+14
     -0.206206206206E+00      0.187954764891E+14      0.187954764891E+14      0.187954764891E+14      0.187954764891E+14
     -0.202202202202E+00      0.167389999488E+14      0.167389999488E+14      0.167389999488E+14      0.167389999488E+14
     -0.198198198198E+00      0.148607336637E+14      0.148607336637E+14      0.148607336637E+14      0.148607336637E+14
     -0.194194194194E+00      0.131525703020E+14      0.131525703020E+14      0.131525703020E+14      0.131525703020E+14
     -0.190190190190E+00      0.116059324279E+14      0.116059324279E+14      0.116059324279E+14      0.116059324279E+14
     -0.186186186186E+00      0.102117585850E+14      0.102117585850E+14      0.102117585850E+14      0.102117585850E+14
     -0.182182182182E+00      0.896055096467E+13      0.896055096467E+13      0.896055096467E+13      0.896055096467E+13
     -0.178178178178E+00      0.784247598125E+13      0.784247598125E+13      0.784247598124E+13      0.784247598125E+13
     -0.174174174174E+00      0.684750213825E+13      0.684750213825E+13      0.684750213825E+13      0.684750213825E+13
     -0.170170170170E+00      0.596555718332E+13      0.596555718332E+13      0.596555718332E+13      0.596555718332E+13
     -0.166166166166E+00      0.518668765037E+13      0.518668765037E+13      0.518668765037E+13      0.518668765037E+13
     -0.162162162162E+00      0.450120713629E+13      0.450120713629E+13      0.450120713629E+13      0.450120713629E+13
     -0.158158158158E+00      0.389982381610E+13      0.389982381610E+13      0.389982381610E+13      0.389982381610E+13
     -0.154154154154E+00      0.337374184134E+13      0.337374184134E+13      0.337374184134E+13      0.337374184134E+13
     -0.150150150150E+00      0.291473482309E+13      0.291473482309E+13      0.291473482309E+13      0.291473482309E+13
     -0.146146146146E+00      0.251519230985E+13      0.251519230985E+13      0.251519230985E+13      0.251519230985E+13
     -0.142142142142E+00      0.216814199151E+13      0.216814199151E+13      0.216814199151E+13      0.216814199151E+13
     -0.138138138138E+00      0.186725138651E+13      0.186725138651E+13      0.186725138651E+13      0.186725138651E+13
     -0.134134134134E+00      0.160681316024E+13      0.160681316024E+13      0.160681316024E+13      0.160681316024E+13
     -0.130130130130E+00      0.138171815516E+13      0.138171815516E+13      0.138171815516E+13      0.138171815516E+13
     -0.126126126126E+00      0.118741985053E+13      0.118741985053E+13      0.118741985052E+13      0.118741985053E+13
     -0.122122122122E+00      0.101989344623E+13      0.101989344623E+13      0.101989344623E+13      0.101989344623E+13
     -0.118118118118E+00      0.875592182900E+12      0.875592182900E+12      0.875592182900E+12      0.875592182900E+12
     -0.114114114114E+00      0.751402937554E+12      0.751402937554E+12      0.751402937553E+12      0.751402937553E+12
     -0.110110110110E+00      0.644602613009E+12      0.644602613009E+12      0.644602613009E+12      0.644602613009E+12
     -0.106106106106E+00      0.552816391625E+12      0.552816391625E+12      0.552816391626E+12      0.552816391626E+12
     -0.102102102102E+00      0.473978555988E+12      0.473978555989E+12      0.473978555988E+12      0.473978555988E+12
     -0.980980980981E-01      0.406296288832E+12      0.406296288832E+12      0.406296288831E+12      0.406296288831E+12
     -0.940940940941E-01      0.348216643588E+12      0.348216643588E+12      0.348216643588E+12      0.348216643588E+12
     -0.900900900901E-01      0.298396715311E+12      0.298396715311E+12      0.298396715311E+12      0.298396715311E+12
     -0.860860860861E-01      0.255676928542E+12      0.255676928542E+12      0.255676928542E+12      0.255676928542E+12
     -0.820820820821E-01      0.219057283707E+12      0.219057283707E+12      0.219057283707E+12      0.219057283707E+12
     -0.780780780781E-01      0.187676358039E+12      0.187676358039E+12      0.187676358039E+12      0.187676358039E+12
     -0.740740740741E-01      0.160792833072E+12      0.160792833072E+12      0.160792833072E+12      0.160792833072E+12
     -0.700700700701E-01      0.137769312574E+12      0.137769312574E+12      0.137769312573E+12      0.137769312573E+12
     -0.660660660661E-01      0.118058197393E+12      0.118058197393E+12      0.118058197392E+12      0.118058197393E+12
     -0.620620620621E-01      0.101189393527E+12      0.101189393527E+12      0.101189393527E+12      0.101189393527E+12
     -0.580580580581E-01      0.867596439933E+11      0.867596439933E+11      0.867596439934E+11      0.867596439934E+11
     -0.540540540541E-01      0.744232917876E+11      0.744232917876E+11      0.744232917875E+11      0.744232917875E+11
     -0.500500500501E-01      0.638842989844E+11      0.638842989844E+11      0.638842989845E+11      0.638842989845E+11
     -0.460460460460E-01      0.548893648106E+11      0.548893648105E+11      0.548893648105E+11      0.548893648105E+11
     -0.420420420420E-01      0.472220027523E+11      0.472220027523E+11      0.472220027522E+11      0.472220027522E+11
     -0.380380380380E-01      0.406974529736E+11      0.406974529736E+11      0.406974529737E+11      0.406974529737E+11
     -0.340340340340E-01      0.351583213475E+11      0.351583213475E+11      0.351583213475E+11      0.351583213475E+11
     -0.300300300300E-01      0.304708500855E+11      0.304708500855E+11      0.304708500854E+11      0.304708500855E+11
     -0.260260260260E-01      0.265217372935E+11      0.265217372935E+11      0.265217372935E+11      0.265217372935E+11
     -0.220220220220E-01      0.232154337812E+11      0.232154337812E+11      0.232154337812E+11      0.232154337812E+11
     -0.180180180180E-01      0.204718551536E+11      0.204718551536E+11      0.204718551536E+11      0.204718551536E+11
     -0.140140140140E-01      0.182244556268E+11      0.182244556268E+11      0.182244556268E+11      0.182244556268E+11
     -0.100100100100E-01      0.164186171357E+11      0.164186171357E+11      0.164186171357E+11      0.164186171357E+11
     -0.600600600601E-02      0.150103130561E+11      0.150103130561E+11      0.150103130561E+11      0.150103130561E+11
     -0.200200200200E-02      0.139650101074E+11      0.139650101074E+11      0.139650101074E+11      0.139650101074E+11
      0.200200200200E-02      0.132567743103E+11      0.132567743103E+11      0.132567743103E+11      0.132567743103E+11
      0.600600600601E-02      0.128675467307E+11      0.128675467307E+11      0.128675467307E+11      0.128675467307E+11
      0.100100100100E-01      0.127865511113E+11      0.127865511113E+11      0.127865511113E+11      0.127865511113E+11
      0.140140140140E-01      0.130097869335E+11      0.130097869335E+11      0.130097869335E+11      0.130097869335E+11
      0.180180180180E-01      0.135395456332E+11      0.135395456332E+11      0.135395456331E+11      0.135395456332E+11
      0.220220220220E-01      0.143838615927E+11      0.143838615927E+11      0.143838615927E+11      0.143838615927E+11
      0.260260260260E-01      0.155557689597E+11      0.155557689597E+11      0.155557689597E+11      0.155557689597E+11
      0.300300300300E-01      0.170721757837E+11      0.170721757837E+11      0.170721757837E+11      0.170721757837E+11
      0.340340340340E-01      0.189520848878E+11      0.189520848878E+11      0.189520848878E+11      0.189520848878E+11
      0.380380380380E-01      0.212137881892E+11      0.212137881892E+11      0.212137881892E+11      0.212137881892E+11
      0.420420420420E-01      0.238705536109E+11      0.238705536109E+11      0.238705536109E+11      0.238705536109E+11
      0.460460460460E-01      0.269242574850E+11      0.269242574850E+11      0.269242574850E+11      0.269242574850E+11
      0.500500500501E-01      0.303564914229E+11      0.303564914229E+11      0.303564914229E+11      0.303564914229E+11
      0.540540540541E-01      0.341170714823E+11      0.341170714823E+11      0.341170714823E+11      0.341170714823E+11
      0.580580580581E-01      0.381108530833E+11      0.381108530833E+11      0.381108530833E+11      0.381108530833E+11
      0.620620620621E-01      0.421855235868E+11      0.421855235868E+11      0.421855235868E+11      0.421855235868E+11
      0.660660660661E-01      0.461254687257E+11      0.461254687257E+11      0.461254687257E+11      0.461254687257E+11
      0.700700700701E-01      0.496588785277E+11      0.496588785277E+11      0.496588785277E+11      0.496588785277E+11
      0.740740740741E-01      0.524847681770E+11      0.524847681770E+11      0.524847681770E+11      0.524847681770E+11
      0.780780780781E-01      0.543210100637E+11      0.543210100637E+11      0.543210100637E+11      0.543210100637E+11
      0.820820820821E-01      0.549637385409E+11      0.549637385409E+11      0.549637385409E+11      0.549637385409E+11
      0.860860860861E-01      0.543379223599E+11      0.543379223599E+11      0.543379223599E+11      0.543379223599E+11
      0.900900900901E-01      0.525174847062E+11      0.525174847062E+11      0.525174847062E+11      0.525174847062E+11
      0.940940940941E-01      0.497054971093E+11      0.497054971093E+11      0.497054971093E+11      0.497054971093E+11
      0.980980980981E-01      0.461837793852E+11      0.461837793852E+11      0.461837793852E+11      0.461837793852E+11
      0.102102102102E+00      0.422534798679E+11      0.422534798679E+11      0.422534798679E+11      0.422534798679E+11
      0.106106106106E+00      0.381868993530E+11      0.381868993530E+11      0.381868993530E+11      0.381868993530E+11
      0.110110110110E+00      0.342002938972E+11      0.342002938972E+11      0.342002938972E+11      0.342002938972E+11
      0.114114114114E+00      0.304466302346E+11      0.304466302346E+11      0.304466302346E+11      0.304466302346E+11
      0.118118118118E+00      0.270216416636E+11      0.270216416636E+11      0.270216416636E+11      0.270216416636E+11
      0.122122122122E+00      0.239760098207E+11      0.239760098207E+11      0.239760098207E+11      0.239760098207E+11
      0.126126126126E+00      0.213285562490E+11      0.213285562490E+11      0.213285562490E+11      0.213285562490E+11
