             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.175975975976E+01      0.140290150939E+01      0.140290150939E+01      0.140290150939E+01      0.140290150939E+01
     -0.175575575576E+01      0.148288467382E+01      0.148288467382E+01      0.148288467382E+01      0.148288467382E+01
     -0.175175175175E+01      0.158231860082E+01      0.158231860082E+01      0.158231860082E+01      0.158231860082E+01
     -0.174774774775E+01      0.169728101871E+01      0.169728101871E+01      0.169728101871E+01      0.169728101871E+01
     -0.174374374374E+01      0.182345705273E+01      0.182345705273E+01      0.182345705273E+01      0.182345705273E+01
     -0.173973973974E+01      0.195676227143E+01      0.195676227143E+01      0.195676227143E+01      0.195676227143E+01
     -0.173573573574E+01      0.209379595585E+01      0.209379595585E+01      0.209379595585E+01      0.209379595585E+01
     -0.173173173173E+01      0.223199199195E+01      0.223199199195E+01      0.223199199195E+01      0.223199199195E+01
     -0.172772772773E+01      0.236942373733E+01      0.236942373733E+01      0.236942373733E+01      0.236942373733E+01
     -0.172372372372E+01      0.250432962616E+01      0.250432962616E+01      0.250432962616E+01      0.250432962616E+01
     -0.171971971972E+01      0.263451266071E+01      0.263451266071E+01      0.263451266071E+01      0.263451266071E+01
     -0.171571571572E+01      0.275680469545E+01      0.275680469545E+01      0.275680469545E+01      0.275680469545E+01
     -0.171171171171E+01      0.286677357365E+01      0.286677357365E+01      0.286677357365E+01      0.286677357365E+01
     -0.170770770771E+01      0.295879719690E+01      0.295879719690E+01      0.295879719690E+01      0.295879719690E+01
     -0.170370370370E+01      0.302654526490E+01      0.302654526490E+01      0.302654526490E+01      0.302654526490E+01
     -0.169969969970E+01      0.306381065348E+01      0.306381065348E+01      0.306381065348E+01      0.306381065348E+01
     -0.169569569570E+01      0.306553842906E+01      0.306553842906E+01      0.306553842906E+01      0.306553842906E+01
     -0.169169169169E+01      0.302883697049E+01      0.302883697049E+01      0.302883697049E+01      0.302883697049E+01
     -0.168768768769E+01      0.295374446005E+01      0.295374446005E+01      0.295374446005E+01      0.295374446005E+01
     -0.168368368368E+01      0.284357170263E+01      0.284357170263E+01      0.284357170263E+01      0.284357170263E+01
     -0.167967967968E+01      0.270473569377E+01      0.270473569377E+01      0.270473569377E+01      0.270473569377E+01
     -0.167567567568E+01      0.254611092931E+01      0.254611092931E+01      0.254611092931E+01      0.254611092931E+01
     -0.167167167167E+01      0.237802839189E+01      0.237802839189E+01      0.237802839189E+01      0.237802839189E+01
     -0.166766766767E+01      0.221112282381E+01      0.221112282381E+01      0.221112282381E+01      0.221112282381E+01
     -0.166366366366E+01      0.205525276910E+01      0.205525276910E+01      0.205525276910E+01      0.205525276910E+01
