             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.175975975976E+01      0.389066720055E+01      0.389066720055E+01      0.389066720055E+01      0.389066720055E+01
     -0.175575575576E+01      0.400388252628E+01      0.400388252628E+01      0.400388252628E+01      0.400388252628E+01
     -0.175175175175E+01      0.414015786422E+01      0.414015786422E+01      0.414015786422E+01      0.414015786422E+01
     -0.174774774775E+01      0.429257938107E+01      0.429257938107E+01      0.429257938107E+01      0.429257938107E+01
     -0.174374374374E+01      0.445442458658E+01      0.445442458658E+01      0.445442458658E+01      0.445442458658E+01
     -0.173973973974E+01      0.462004149980E+01      0.462004149980E+01      0.462004149980E+01      0.462004149980E+01
     -0.173573573574E+01      0.478526849408E+01      0.478526849408E+01      0.478526849408E+01      0.478526849408E+01
     -0.173173173173E+01      0.494738115525E+01      0.494738115525E+01      0.494738115525E+01      0.494738115525E+01
     -0.172772772773E+01      0.510465728526E+01      0.510465728526E+01      0.510465728526E+01      0.510465728526E+01
     -0.172372372372E+01      0.525572379587E+01      0.525572379587E+01      0.525572379587E+01      0.525572379587E+01
     -0.171971971972E+01      0.539887815703E+01      0.539887815703E+01      0.539887815703E+01      0.539887815703E+01
     -0.171571571572E+01      0.553156163633E+01      0.553156163633E+01      0.553156163633E+01      0.553156163633E+01
     -0.171171171171E+01      0.565011061373E+01      0.565011061373E+01      0.565011061373E+01      0.565011061373E+01
     -0.170770770771E+01      0.574984088576E+01      0.574984088576E+01      0.574984088576E+01      0.574984088576E+01
     -0.170370370370E+01      0.582544552724E+01      0.582544552724E+01      0.582544552724E+01      0.582544552724E+01
     -0.169969969970E+01      0.587162549934E+01      0.587162549934E+01      0.587162549935E+01      0.587162549934E+01
     -0.169569569570E+01      0.588383495674E+01      0.588383495674E+01      0.588383495674E+01      0.588383495674E+01
     -0.169169169169E+01      0.585901421716E+01      0.585901421716E+01      0.585901421716E+01      0.585901421716E+01
     -0.168768768769E+01      0.579619896176E+01      0.579619896176E+01      0.579619896176E+01      0.579619896176E+01
