    #kx         ky         Energy       Sx       Sy     Sz
    #Grid_Size:    44   44
    #Band_Index:    4
    0.382395   -0.140494  -13.283125  -0.260  -0.716  -0.016
    0.417158   -0.160564  -13.235137  -0.271  -0.714  -0.021
    0.451921   -0.180635  -13.185453  -0.282  -0.712  -0.027
    0.486684   -0.200705  -13.135028  -0.289  -0.711  -0.033
    0.521447   -0.220776  -13.085837  -0.293  -0.708  -0.043
    0.556210   -0.240846  -13.037940  -0.291  -0.702  -0.057
    0.590973   -0.260917  -12.992697  -0.291  -0.701  -0.072
    0.625737   -0.280987  -12.952338  -0.302  -0.720  -0.086
    0.660500   -0.301058  -12.916896  -0.325  -0.758  -0.098
    0.695263   -0.321128  -12.887739  -0.306  -0.756  -0.137
    0.730026   -0.341199  -12.866634  -0.174  -0.637  -0.241
   -0.764789    0.521833  -12.853588   0.071  -0.400  -0.409
   -0.730026    0.501763  -12.849007   0.320  -0.117  -0.538
   -0.695263    0.481692  -12.853299   0.464   0.144  -0.524
   -0.660500    0.461622  -12.866459   0.503   0.381  -0.369
   -0.625737    0.441551  -12.887593   0.496   0.557  -0.194
   -0.590973    0.421481  -12.916009   0.488   0.645  -0.094
   -0.556210    0.401410  -12.951674   0.477   0.645  -0.068
   -0.521447    0.381340  -12.992421   0.469   0.619  -0.066
   -0.486684    0.361269  -13.036928   0.466   0.605  -0.059
   -0.451921    0.341199  -13.085125   0.468   0.603  -0.046
   -0.417158    0.321128  -13.134703   0.471   0.603  -0.034
   -0.382395    0.301058  -13.184544   0.476   0.599  -0.025
   -0.347631    0.280987  -13.234551   0.481   0.592  -0.020
   -0.312868    0.260917  -13.282831   0.488   0.583  -0.016
   -0.278105    0.240846  -13.328651   0.497   0.572  -0.013
   -0.243342    0.220776  -13.371910   0.507   0.559  -0.011
   -0.208579    0.200705  -13.411276   0.521   0.543  -0.006
   -0.173816    0.180635  -13.446338   0.538   0.524   0.002
   -0.139053    0.160564  -13.477010   0.560   0.499   0.012
   -0.104289    0.140494  -13.502493   0.590   0.450   0.000
   -0.069526    0.120423  -13.522593   0.629   0.372  -0.039
   -0.034763    0.100353  -13.537253   0.669   0.258  -0.096
   -0.000000    0.120423  -13.531538   0.757  -0.004   0.006
    0.034763    0.100353  -13.537344   0.637  -0.291   0.003
    0.069526    0.080282  -13.537343   0.510  -0.508   0.001
    0.104289    0.060212  -13.531537   0.377  -0.655  -0.000
    0.139053    0.040141  -13.519924   0.239  -0.731  -0.001
    0.173816    0.020071  -13.502609   0.102  -0.748  -0.002
    0.208579    0.000000  -13.480017  -0.003  -0.754  -0.003
    0.243342   -0.020071  -13.452194  -0.072  -0.754  -0.005
    0.278105   -0.040141  -13.419404  -0.112  -0.748  -0.007
    0.312868   -0.060212  -13.382504  -0.144  -0.743  -0.011
    0.347631   -0.080282  -13.341560  -0.170  -0.739  -0.016
    0.382395   -0.100353  -13.297098  -0.191  -0.735  -0.022
    0.417158   -0.120423  -13.250479  -0.209  -0.732  -0.028
    0.451921   -0.140494  -13.201772  -0.224  -0.730  -0.036
    0.486684   -0.160564  -13.151882  -0.236  -0.728  -0.045
    0.521447   -0.180635  -13.102677  -0.243  -0.725  -0.059
    0.556210   -0.200705  -13.054214  -0.246  -0.720  -0.077
    0.590973   -0.220776  -13.007815  -0.247  -0.719  -0.097
    0.625737   -0.240846  -12.965652  -0.255  -0.729  -0.116
    0.660500   -0.260917  -12.927757  -0.268  -0.749  -0.135
    0.695263   -0.280987  -12.895576  -0.246  -0.745  -0.185
    0.730026   -0.301058  -12.870980  -0.135  -0.671  -0.307
   -0.764789    0.561974  -12.853976   0.067  -0.529  -0.501
   -0.730026    0.541904  -12.845174   0.278  -0.328  -0.652
   -0.695263    0.521833  -12.845185   0.417  -0.081  -0.648
   -0.660500    0.501763  -12.854005   0.486   0.211  -0.488
   -0.625737    0.481692  -12.870980   0.514   0.459  -0.301
   -0.590973    0.461622  -12.895602   0.524   0.589  -0.184
   -0.556210    0.441551  -12.927842   0.515   0.605  -0.137
   -0.521447    0.421481  -12.965669   0.504   0.583  -0.117
   -0.486684    0.401410  -13.007845   0.500   0.573  -0.097
   -0.451921    0.381340  -13.054300   0.502   0.573  -0.076
   -0.417158    0.361269  -13.102699   0.508   0.573  -0.059
   -0.382395    0.341199  -13.151913   0.514   0.568  -0.045
   -0.347631    0.321128  -13.201839   0.521   0.559  -0.036
   -0.312868    0.301058  -13.250498   0.530   0.547  -0.028
   -0.278105    0.280987  -13.297124   0.542   0.533  -0.021
   -0.243342    0.260917  -13.341606   0.556   0.516  -0.016
   -0.208579    0.240846  -13.382519   0.573   0.495  -0.011
   -0.173816    0.220776  -13.419423   0.593   0.469  -0.008
   -0.139053    0.200705  -13.452222   0.617   0.436  -0.006
   -0.104289    0.180635  -13.480026   0.654   0.377  -0.003
   -0.069526    0.160564  -13.502619   0.707   0.288   0.000
   -0.034763    0.140494  -13.519937   0.764   0.166   0.004
   -0.000000    0.160564  -13.511313   0.796  -0.029   0.045
    0.034763    0.140494  -13.519954   0.720  -0.256   0.025
    0.069526    0.120423  -13.522825   0.626  -0.437   0.010
    0.104289    0.100353  -13.519924   0.513  -0.572   0.000
    0.139053    0.080282  -13.511252   0.383  -0.661  -0.003
    0.173816    0.060212  -13.496891   0.244  -0.709  -0.003
    0.208579    0.040141  -13.477177   0.132  -0.739  -0.003
    0.243342    0.020071  -13.452145   0.051  -0.752  -0.004
    0.278105    0.000000  -13.422035  -0.004  -0.754  -0.008
    0.312868   -0.020071  -13.387621  -0.050  -0.753  -0.012
    0.347631   -0.040141  -13.348963  -0.087  -0.752  -0.018
    0.382395   -0.060212  -13.306548  -0.117  -0.749  -0.025
    0.417158   -0.080282  -13.261632  -0.142  -0.747  -0.033
    0.451921   -0.100353  -13.214280  -0.163  -0.745  -0.042
    0.486684   -0.120423  -13.165343  -0.180  -0.742  -0.054
    0.521447   -0.140494  -13.116574  -0.191  -0.739  -0.070
    0.556210   -0.160564  -13.068027  -0.199  -0.736  -0.091
    0.590973   -0.180635  -13.020977  -0.203  -0.734  -0.114
    0.625737   -0.200705  -12.977514  -0.209  -0.736  -0.139
    0.660500   -0.220776  -12.937669  -0.217  -0.743  -0.165
    0.695263   -0.240846  -12.902926  -0.196  -0.735  -0.219
    0.730026   -0.260917  -12.875200  -0.112  -0.691  -0.336
   -0.764789    0.602115  -12.854500   0.036  -0.610  -0.517
   -0.730026    0.582045  -12.841639   0.201  -0.468  -0.664
   -0.695263    0.561974  -12.837430   0.336  -0.244  -0.680
   -0.660500    0.541904  -12.841872   0.442   0.064  -0.564
   -0.625737    0.521833  -12.854543   0.513   0.341  -0.414
   -0.590973    0.501763  -12.875118   0.547   0.500  -0.302
   -0.556210    0.481692  -12.903569   0.545   0.541  -0.230
   -0.521447    0.461622  -12.938053   0.534   0.540  -0.180
   -0.486684    0.441551  -12.977446   0.530   0.541  -0.140
   -0.451921    0.421481  -13.021677   0.533   0.543  -0.111
   -0.417158    0.401410  -13.068420   0.539   0.542  -0.088
   -0.382395    0.381340  -13.116548   0.546   0.537  -0.070
   -0.347631    0.361269  -13.165955   0.554   0.527  -0.055
   -0.312868    0.341199  -13.214585   0.565   0.513  -0.043
   -0.278105    0.321128  -13.261640   0.578   0.497  -0.033
   -0.243342    0.301058  -13.307006   0.593   0.477  -0.023
   -0.208579    0.280987  -13.349161   0.611   0.452  -0.017
   -0.173816    0.260917  -13.387639   0.632   0.421  -0.014
   -0.139053    0.240846  -13.422332   0.656   0.382  -0.014
   -0.104289    0.220776  -13.452262   0.691   0.321  -0.006
   -0.069526    0.200705  -13.477190   0.739   0.234   0.012
   -0.034763    0.180635  -13.497043   0.792   0.119   0.036
   -0.000000    0.200705  -13.485574   0.771  -0.012   0.018
    0.034763    0.180635  -13.496951   0.737  -0.185   0.011
    0.069526    0.160564  -13.502629   0.679  -0.334   0.005
    0.104289    0.140494  -13.502609   0.598  -0.461   0.002
    0.139053    0.120423  -13.496891   0.493  -0.565  -0.000
    0.173816    0.100353  -13.485535   0.373  -0.645  -0.001
    0.208579    0.080282  -13.468783   0.267  -0.701  -0.002
    0.243342    0.060212  -13.446661   0.180  -0.734  -0.004
    0.278105    0.040141  -13.419385   0.109  -0.746  -0.007
    0.312868    0.020071  -13.387651   0.050  -0.754  -0.012
    0.347631    0.000000  -13.351512   0.001  -0.757  -0.018
    0.382395   -0.020071  -13.311417  -0.038  -0.758  -0.026
    0.417158   -0.040141  -13.268521  -0.071  -0.757  -0.035
    0.451921   -0.060212  -13.222884  -0.098  -0.755  -0.047
    0.486684   -0.080282  -13.175300  -0.120  -0.753  -0.060
    0.521447   -0.100353  -13.127404  -0.137  -0.750  -0.078
    0.556210   -0.120423  -13.079246  -0.150  -0.748  -0.100
    0.590973   -0.140494  -13.032041  -0.159  -0.744  -0.126
    0.625737   -0.160564  -12.987784  -0.166  -0.741  -0.154
    0.660500   -0.180635  -12.946502  -0.169  -0.739  -0.187
    0.695263   -0.200705  -12.909677  -0.155  -0.728  -0.240
    0.730026   -0.220776  -12.879219  -0.103  -0.698  -0.335
   -0.764789    0.642256  -12.855136  -0.012  -0.649  -0.474
   -0.730026    0.622186  -12.838437   0.103  -0.544  -0.596
   -0.695263    0.602115  -12.830128   0.232  -0.349  -0.638
   -0.660500    0.582045  -12.830210   0.374  -0.063  -0.603
   -0.625737    0.561974  -12.838488   0.491   0.208  -0.527
   -0.590973    0.541904  -12.854812   0.554   0.381  -0.439
   -0.556210    0.521833  -12.879160   0.563   0.457  -0.341
   -0.521447    0.501763  -12.909919   0.556   0.489  -0.253
   -0.486684    0.481692  -12.946105   0.554   0.508  -0.190
   -0.451921    0.461622  -12.987650   0.558   0.513  -0.152
   -0.417158    0.441551  -13.032267   0.565   0.511  -0.123
   -0.382395    0.421481  -13.078848   0.572   0.505  -0.099
   -0.347631    0.401410  -13.127286   0.581   0.495  -0.079
   -0.312868    0.381340  -13.175461   0.592   0.480  -0.061
   -0.278105    0.361269  -13.222554   0.605   0.463  -0.047
   -0.243342    0.341199  -13.268441   0.620   0.441  -0.035
   -0.208579    0.321128  -13.311511   0.638   0.414  -0.026
   -0.173816    0.301058  -13.351269   0.657   0.380  -0.019
   -0.139053    0.280987  -13.387599   0.679   0.339  -0.014
   -0.104289    0.260917  -13.419434   0.705   0.282  -0.008
   -0.069526    0.240846  -13.446514   0.735   0.205   0.002
   -0.034763    0.220776  -13.468755   0.767   0.109   0.013
   -0.000000    0.240846  -13.454988   0.752   0.001  -0.002
    0.034763    0.220776  -13.468923   0.745  -0.131   0.001
    0.069526    0.200705  -13.477266   0.713  -0.256   0.002
    0.104289    0.180635  -13.480017   0.656  -0.374   0.003
    0.139053    0.160564  -13.477177   0.574  -0.483   0.003
    0.173816    0.140494  -13.468783   0.473  -0.582   0.002
    0.208579    0.120423  -13.454989   0.378  -0.656  -0.000
    0.243342    0.100353  -13.435814   0.290  -0.702  -0.003
    0.278105    0.080282  -13.411446   0.212  -0.727  -0.006
    0.312868    0.060212  -13.382507   0.144  -0.744  -0.011
    0.347631    0.040141  -13.349045   0.087  -0.754  -0.017
    0.382395    0.020071  -13.311467   0.040  -0.758  -0.026
    0.417158    0.000000  -13.270834  -0.000  -0.760  -0.036
    0.451921   -0.020071  -13.227200  -0.033  -0.761  -0.049
    0.486684   -0.040141  -13.181301  -0.060  -0.760  -0.064
    0.521447   -0.060212  -13.134659  -0.083  -0.758  -0.083
    0.556210   -0.080282  -13.087320  -0.101  -0.756  -0.106
    0.590973   -0.100353  -13.040435  -0.114  -0.752  -0.133
    0.625737   -0.120423  -12.995891  -0.123  -0.746  -0.166
    0.660500   -0.140494  -12.953717  -0.126  -0.738  -0.203
    0.695263   -0.160564  -12.915367  -0.118  -0.724  -0.255
    0.730026   -0.180635  -12.882721  -0.090  -0.701  -0.335
   -0.764789    0.682397  -12.855787  -0.041  -0.670  -0.441
   -0.730026    0.662327  -12.835717   0.036  -0.590  -0.543
   -0.695263    0.642256  -12.823666   0.153  -0.424  -0.606
   -0.660500    0.622186  -12.819635   0.307  -0.170  -0.631
   -0.625737    0.602115  -12.823651   0.447   0.080  -0.613
   -0.590973    0.582045  -12.835739   0.529   0.258  -0.550
   -0.556210    0.561974  -12.855878   0.556   0.365  -0.441
   -0.521447    0.541904  -12.882702   0.561   0.429  -0.333
   -0.486684    0.521833  -12.915377   0.568   0.467  -0.254
   -0.451921    0.501763  -12.953836   0.575   0.479  -0.204
   -0.417158    0.481692  -12.995881   0.584   0.480  -0.166
   -0.382395    0.461622  -13.040446   0.593   0.475  -0.134
   -0.347631    0.441551  -13.087421   0.603   0.465  -0.106
   -0.312868    0.421481  -13.134654   0.614   0.451  -0.083
   -0.278105    0.401410  -13.181314   0.628   0.432  -0.064
   -0.243342    0.381340  -13.227270   0.643   0.409  -0.049
   -0.208579    0.361269  -13.270832   0.659   0.380  -0.036
   -0.173816    0.341199  -13.311481   0.677   0.345  -0.025
   -0.139053    0.321128  -13.349090   0.696   0.303  -0.017
   -0.104289    0.301058  -13.382508   0.715   0.249  -0.011
   -0.069526    0.280987  -13.411454   0.733   0.182  -0.007
   -0.034763    0.260917  -13.435834   0.749   0.101  -0.004
   -0.000000    0.280987  -13.419626   0.748   0.005  -0.008
    0.034763    0.260917  -13.435935   0.750  -0.102  -0.002
    0.069526    0.240846  -13.446791   0.731  -0.208   0.003
    0.104289    0.220776  -13.452194   0.689  -0.315   0.005
    0.139053    0.200705  -13.452145   0.626  -0.421   0.006
    0.173816    0.180635  -13.446661   0.545  -0.523   0.004
    0.208579    0.160564  -13.435814   0.462  -0.603   0.003
    0.243342    0.140494  -13.419610   0.381  -0.659  -0.000
    0.278105    0.120423  -13.398218   0.302  -0.696  -0.004
    0.312868    0.100353  -13.372181   0.231  -0.722  -0.009
    0.347631    0.080282  -13.341543   0.170  -0.740  -0.015
    0.382395    0.060212  -13.306675   0.117  -0.750  -0.024
    0.417158    0.040141  -13.268539   0.071  -0.757  -0.035
    0.451921    0.020071  -13.227184   0.033  -0.761  -0.049
    0.486684    0.000000  -13.183295   0.000  -0.762  -0.066
    0.521447   -0.020071  -13.138282  -0.028  -0.762  -0.086
    0.556210   -0.040141  -13.092188  -0.051  -0.760  -0.110
    0.590973   -0.060212  -13.046094  -0.069  -0.757  -0.138
    0.625737   -0.080282  -13.001775  -0.081  -0.750  -0.173
    0.660500   -0.100353  -12.959255  -0.088  -0.739  -0.214
    0.695263   -0.120423  -12.919948  -0.086  -0.723  -0.266
    0.730026   -0.140494  -12.885674  -0.072  -0.702  -0.336
   -0.764789    0.722538  -12.856440  -0.047  -0.675  -0.425
   -0.730026    0.702468  -12.833495   0.006  -0.609  -0.515
   -0.695263    0.682397  -12.818086   0.103  -0.471  -0.591
   -0.660500    0.662327  -12.810213   0.243  -0.259  -0.651
   -0.625737    0.642256  -12.810124   0.379  -0.041  -0.671
