     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
     1.99013     0.20382    -0.25638     0.08621    -0.10817
     2.10313     0.22616    -0.24707     0.13803    -0.10262
     2.21513     0.21818    -0.23101     0.14505    -0.09749
     2.32813     0.19725    -0.21486     0.10927    -0.09385
     2.44113     0.18702    -0.23464     0.10285    -0.15411
     2.55413     0.18921    -0.22425     0.11123    -0.15146
     2.66713     0.18993    -0.20316     0.11456    -0.11343
     2.78013     0.18669    -0.20479     0.11507    -0.11816
     2.89313     0.18326    -0.20674     0.11526    -0.12520
     3.00613     0.16711    -0.20301     0.10616    -0.12544
     3.11913     0.16570    -0.19918     0.10511    -0.12533
     3.23113     0.16483    -0.18467     0.10432    -0.11889
     3.34413     0.16485    -0.18321     0.10399    -0.11780
     3.45713     0.16395    -0.18273     0.10091    -0.11719
     3.57013     0.16126    -0.18235     0.09875    -0.11651
     3.68313     0.17219    -0.17964     0.10548    -0.11218
     3.79613     0.16287    -0.15736     0.09237    -0.09605
     3.90913     0.15275    -0.18307     0.07988    -0.11105
     4.02213     0.14618    -0.17053     0.07066    -0.09567
     4.13513     0.10489    -0.15948     0.05429    -0.08253
     4.24713     0.14329    -0.11036     0.06982    -0.05873
     4.36013     0.11088    -0.10966     0.05192    -0.05807
     4.47313     0.10498    -0.14621     0.04901    -0.07242
     4.58613     0.22216    -0.11250     0.05628    -0.05319
     4.69913     0.24769    -0.11143     0.06148    -0.05210
     4.81213     0.30201    -0.23084     0.07174    -0.05737
     4.92513     0.34561    -0.25750     0.08556    -0.06194
     5.03813     0.30200    -0.31699     0.09052    -0.07036
     5.15113     0.30526    -0.36416     0.09440    -0.08589
     5.26313     0.30906    -0.31524     0.09850    -0.08929
     5.37613     0.28070    -0.31887     0.09768    -0.09310
     5.48913     0.25951    -0.30605     0.08924    -0.09249
     5.60213     0.26285    -0.29324     0.08997    -0.09646
     5.71513     0.26584    -0.29220     0.08934    -0.09491
     5.82813     0.22597    -0.28356     0.08087    -0.09313
     5.94113     0.19250    -0.25130     0.07009    -0.08623
     6.05413     0.17337    -0.20992     0.06107    -0.07537
     6.16713     0.15589    -0.19062     0.05105    -0.06631
     6.27913     0.15895    -0.16597     0.05303    -0.05396
     6.39213     0.15632    -0.16816     0.05105    -0.05730
     6.50513     0.16814    -0.16581     0.05335    -0.05548
     6.61813     0.11523    -0.21971     0.03331    -0.07140
     6.73113     0.11385    -0.11838     0.03348    -0.03366
     6.84413     0.35680    -0.11686     0.16656    -0.03389
     6.95713     0.35582    -0.11532     0.21987    -0.03411
     7.07013     0.27517    -0.23866     0.12463    -0.14449
     7.18213     0.27795    -0.39047     0.16760    -0.24717
     7.29513     0.25439    -0.27692     0.16796    -0.12868
     7.40813     0.19923    -0.28293     0.11663    -0.19392
     7.52113     0.17563    -0.25224     0.10155    -0.18388
