#K-Path     Energy-Level
#Band-index    1
  2.221      -16.0750
  2.189      -16.0750
  2.158      -16.0749
  2.126      -16.0749
  2.095      -16.0749
  2.064      -16.0748
  2.032      -16.0748
  2.001      -16.0748
  1.969      -16.0748
  1.938      -16.0747
  1.907      -16.0747
  1.875      -16.0747
  1.875      -16.0747
  1.844      -16.0747
  1.812      -16.0747
  1.781      -16.0748
  1.749      -16.0748
  1.718      -16.0748
  1.686      -16.0749
  1.655      -16.0749
  1.623      -16.0750
  1.592      -16.0750
  1.560      -16.0751
  1.529      -16.0751
  1.497      -16.0752
  1.466      -16.0753
  1.434      -16.0753
  1.403      -16.0754
  1.371      -16.0754
  1.340      -16.0755
  1.308      -16.0755
  1.277      -16.0755
  1.245      -16.0755
  1.214      -16.0756
  1.182      -16.0756
  1.182      -16.0756
  1.150      -16.0756
  1.117      -16.0756
  1.085      -16.0756
  1.052      -16.0756
  1.019      -16.0756
  0.987      -16.0756
  0.954      -16.0756
  0.921      -16.0756
  0.889      -16.0756
  0.856      -16.0756
  0.823      -16.0756
  0.791      -16.0756
  0.758      -16.0756
  0.725      -16.0756
  0.693      -16.0756
  0.693      -16.0756
  0.661      -16.0756
  0.630      -16.0756
  0.598      -16.0756
  0.567      -16.0755
  0.535      -16.0755
  0.504      -16.0755
  0.472      -16.0755
  0.441      -16.0755
  0.409      -16.0754
  0.378      -16.0754
  0.346      -16.0754
  0.315      -16.0753
  0.283      -16.0753
  0.252      -16.0753
  0.220      -16.0752
  0.189      -16.0752
  0.157      -16.0752
  0.126      -16.0752
  0.094      -16.0752
  0.063      -16.0752
  0.031      -16.0751
  0.000      -16.0752
#Band-index    5
  0.000      -16.0752
  0.031      -16.0751
  0.063      -16.0751
  0.094      -16.0752
  0.126      -16.0752
  0.157      -16.0752
  0.189      -16.0752
  0.220      -16.0752
  0.252      -16.0753
  0.283      -16.0753
  0.315      -16.0753
  0.346      -16.0754
  0.378      -16.0754
  0.409      -16.0754
  0.441      -16.0754
  0.472      -16.0755
  0.504      -16.0755
  0.535      -16.0755
  0.567      -16.0755
  0.598      -16.0756
  0.630      -16.0756
  0.661      -16.0756
  0.693      -16.0756
  0.693      -16.0756
  0.725      -16.0756
  0.758      -16.0755
  0.791      -16.0755
  0.823      -16.0755
  0.856      -16.0755
  0.889      -16.0754
  0.921      -16.0754
  0.954      -16.0753
  0.987      -16.0753
  1.019      -16.0752
  1.052      -16.0752
  1.085      -16.0752
  1.117      -16.0752
  1.150      -16.0752
  1.182      -16.0751
  1.182      -16.0751
  1.214      -16.0751
  1.245      -16.0751
  1.277      -16.0751
  1.308      -16.0751
  1.340      -16.0751
  1.371      -16.0751
