#K-Path  Band-1   Band-2   Band-3   Band-4      ...   Band-n
  0.74  -17.059   -8.488   -7.042   -4.752    5.460    6.576    7.691    8.494   10.478   11.414   11.777   12.878   15.724   18.295   18.724   19.507   21.044   21.451   21.612   22.899   22.918   23.137   25.041   25.961   26.023   27.449   27.774   27.950   29.306   29.837   32.781   33.864   33.948   33.985   34.519   38.213
  0.79  -17.263   -8.201   -6.786   -4.984    5.821    6.291    7.415    8.207   10.279   11.173   11.666   12.601   15.904   17.927   18.671   19.260   21.498   21.862   22.057   23.364   23.376   23.596   25.425   25.970   26.166   27.927   28.086   28.129   29.497   29.761   32.524   34.232   34.250   34.467   34.964   38.071
  0.83  -17.458   -7.910   -6.530   -5.207    6.019    6.183    7.149    7.933   10.088   10.935   11.551   12.336   16.032   17.524   18.702   19.017   21.958   22.312   22.502   23.833   23.835   24.079   25.803   25.872   26.331   28.209   28.419   28.482   29.702   29.810   32.268   34.549   34.636   34.957   35.406   37.955
  0.87  -17.645   -7.615   -6.276   -5.422    5.759    6.545    6.894    7.671    9.905   10.702   11.432   12.083   16.093   17.097   18.782   18.829   22.416   22.788   22.943   24.270   24.298   24.583   25.786   26.172   26.461   28.176   28.925   28.925   29.931   30.001   32.023   34.892   34.998   35.454   35.838   37.885
  0.91  -17.823   -7.317   -6.023   -5.629    5.512    6.651    6.906    7.422    9.733   10.476   11.310   11.841   16.088   16.666   18.556   19.050   22.863   23.288   23.376   24.624   24.752   25.104   25.789   26.535   26.574   28.064   29.396   29.445   30.192   30.310   31.794   35.251   35.307   35.951   36.246   37.885
  0.95  -17.993   -7.017   -5.826   -5.773    5.277    6.420    7.185    7.266    9.570   10.259   11.183   11.611   16.030   16.233   18.338   19.347   23.287   23.798   23.807   24.797   25.179   25.642   25.988   26.693   26.895   27.922   29.880   29.977   30.492   30.696   31.589   35.538   35.614   36.437   36.603   37.984
  0.99  -18.154   -6.715   -6.013   -5.526    5.055    6.200    6.961    7.623    9.417   10.052   11.049   11.393   15.806   15.937   18.132   19.701   23.661   24.200   24.343   24.799   25.569   26.195   26.382   26.829   27.259   27.808   30.349   30.523   30.833   31.134   31.427   35.675   35.961   36.860   36.863   37.825
  1.03  -18.306   -6.412   -6.191   -5.285    4.845    5.993    6.750    7.975    9.276    9.855   10.908   11.187   15.395   15.823   17.935   20.095   23.955   24.578   24.726   24.895   25.926   26.763   26.876   26.927   27.636   27.827   30.704   31.081   31.215   31.407   31.610   35.728   36.258   36.978   37.087   37.953
  1.08  -18.449   -6.358   -6.109   -5.049    4.648    5.797    6.552    8.323    9.145    9.668   10.757   10.993   14.999   15.699   17.749   20.514   24.139   24.639   24.928   25.462   26.271   26.919   27.345   27.416   28.035   28.071   30.759   31.635   31.652   31.708   32.113   35.725   36.457   36.985   37.065   37.869
  1.12  -18.583   -6.516   -5.808   -4.820    4.463    5.614    6.366    8.665    9.024    9.492   10.595   10.811   14.626   15.570   17.575   20.945   24.204   24.562   25.249   26.044   26.521   26.962   27.941   27.981   28.463   28.486   30.659   32.091   32.185   32.235   32.637   35.695   36.507   36.935   36.954   37.733
  1.16  -18.708   -6.663   -5.510   -4.600    4.292    5.444    6.194    8.914    8.993    9.328   10.424   10.642   14.280   15.442   17.412   21.372   24.170   24.513   25.539   26.480   26.640   27.324   28.551   28.558   28.924   28.992   30.538   32.575   32.695   32.830   33.177   35.664   36.394   36.825   36.864   37.590
  1.20  -18.824   -6.800   -5.217   -4.390    4.132    5.285    6.034    8.815    9.175    9.307   10.237   10.484   13.963   15.318   17.260   21.775   24.064   24.512   25.802   26.346   27.249   27.827   29.131   29.175   29.420   29.549   30.438   33.080   33.191   33.436   33.727   35.659   36.151   36.696   36.788   37.452
  1.24  -18.931   -6.926   -4.930   -4.190    3.986    5.140    5.887    8.725    9.034    9.608   10.038   10.338   13.678   15.200   17.120   22.130   23.911   24.583   26.046   26.206   27.872   28.384   29.642   29.812   29.950   30.140   30.423   33.592   33.632   34.052   34.279   35.720   35.826   36.575   36.722   37.325
  1.28  -19.029   -7.042   -4.652   -4.003    3.852    5.006    5.752    8.647    8.905    9.829    9.894   10.205   13.427   15.090   16.991   22.411   23.733   24.750   26.073   26.278   28.508   28.975   29.893   30.462   30.510   30.690   30.755   33.966   34.071   34.674   34.817   35.489   35.899   36.466   36.683   37.210
  1.32  -19.117   -7.147   -4.386   -3.828    3.731    4.886    5.631    8.580    8.788    9.615   10.084   10.163   13.209   14.989   16.875   22.601   23.542   25.026   25.953   26.504   29.157   29.591   29.900   31.098   31.125   31.223   31.390   34.157   34.338   35.293   35.308   35.341   36.230   36.382   36.702   37.108
  1.37  -19.197   -7.241   -4.134   -3.669    3.623    4.778    5.522    8.520    8.683    9.398    9.975   10.410   13.021   14.896   16.770   22.711   23.346   25.398   25.847   26.726   29.818   29.856   30.226   31.710   31.801   31.821   32.041   34.140   34.223   35.646   35.677   35.845   36.385   36.692   36.835   37.032
  1.41  -19.267   -7.324   -3.900   -3.525    3.528    4.682    5.426    8.468    8.591    9.186    9.879   10.632   12.864   14.813   16.677   22.762   23.157   25.754   25.836   26.948   29.815   30.491   30.878   32.343   32.408   32.490   32.705   33.733   34.223   35.865   36.041   36.154   36.758   36.903   37.208   37.221
  1.45  -19.327   -7.397   -3.687   -3.398    3.445    4.600    5.343    8.427    8.510    8.983    9.795   10.831   12.734   14.741   16.596   22.780   22.983   25.674   26.308   27.171   29.796   31.176   31.543   32.900   32.986   33.190   33.296   33.380   34.250   35.927   36.017   36.683   36.842   37.078   37.353   37.587
  1.49  -19.379   -7.458   -3.498   -3.289    3.375    4.530    5.273    8.392    8.442    8.798    9.724   11.003   12.630   14.680   16.528   22.779   22.828   25.607   26.786   27.394   29.813   31.871   32.219   32.845   33.114   33.665   33.902   34.058   34.474   35.942   35.969   36.637   36.785   37.130   37.800   37.834
  1.53  -19.421   -7.508   -3.336   -3.198    3.318    4.472    5.215    8.366    8.386    8.636    9.665   11.149   12.548   14.629   16.472   22.695   22.770   25.552   27.238   27.612   29.885   32.441   32.577   32.900   32.985   34.339   34.622   34.726   34.929   35.926   35.958   36.309   36.736   37.379   37.806   37.872
