 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
   0.197      0.8097E+02      0.8097E+02      0.8097E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.200      0.8378E+02      0.8378E+02      0.8378E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.203      0.8660E+02      0.8660E+02      0.8660E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.207      0.8947E+02      0.8947E+02      0.8947E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.210      0.9213E+02      0.9213E+02      0.9213E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.213      0.9509E+02      0.9509E+02      0.9509E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.217      0.9810E+02      0.9810E+02      0.9810E+02      0.0000E+00      0.0000E+00      0.0000E+00
   0.220      0.1012E+03      0.1012E+03      0.1012E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.223      0.1043E+03      0.1043E+03      0.1043E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.227      0.1074E+03      0.1074E+03      0.1074E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.230      0.1107E+03      0.1107E+03      0.1107E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.233      0.1139E+03      0.1139E+03      0.1139E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.237      0.1172E+03      0.1172E+03      0.1172E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.240      0.1206E+03      0.1206E+03      0.1206E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.243      0.1240E+03      0.1240E+03      0.1240E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.247      0.1274E+03      0.1274E+03      0.1274E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.250      0.1309E+03      0.1309E+03      0.1309E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.253      0.1344E+03      0.1344E+03      0.1344E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.257      0.1380E+03      0.1380E+03      0.1380E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.260      0.1416E+03      0.1416E+03      0.1416E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.263      0.1453E+03      0.1453E+03      0.1453E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.267      0.1491E+03      0.1491E+03      0.1491E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.270      0.1532E+03      0.1532E+03      0.1532E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.273      0.1570E+03      0.1570E+03      0.1570E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.277      0.1609E+03      0.1609E+03      0.1609E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.280      0.1648E+03      0.1648E+03      0.1648E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.283      0.1687E+03      0.1687E+03      0.1687E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.287      0.1728E+03      0.1728E+03      0.1728E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.290      0.1768E+03      0.1768E+03      0.1768E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.293      0.1809E+03      0.1809E+03      0.1809E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.297      0.1851E+03      0.1851E+03      0.1851E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.300      0.1893E+03      0.1893E+03      0.1893E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.303      0.1935E+03      0.1935E+03      0.1935E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.307      0.1978E+03      0.1978E+03      0.1978E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.310      0.2021E+03      0.2021E+03      0.2021E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.313      0.2065E+03      0.2065E+03      0.2065E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.317      0.2110E+03      0.2110E+03      0.2110E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.320      0.2154E+03      0.2154E+03      0.2154E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.323      0.2204E+03      0.2204E+03      0.2204E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.327      0.2250E+03      0.2250E+03      0.2250E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.330      0.2296E+03      0.2296E+03      0.2296E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.333      0.2342E+03      0.2342E+03      0.2342E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.337      0.2390E+03      0.2390E+03      0.2390E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.340      0.2437E+03      0.2437E+03      0.2437E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.343      0.2485E+03      0.2485E+03      0.2485E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.347      0.2534E+03      0.2534E+03      0.2534E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.350      0.2588E+03      0.2588E+03      0.2588E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.353      0.2638E+03      0.2638E+03      0.2638E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.357      0.2687E+03      0.2687E+03      0.2687E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.360      0.2738E+03      0.2738E+03      0.2738E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.363      0.2789E+03      0.2789E+03      0.2789E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.367      0.2840E+03      0.2840E+03      0.2840E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.370      0.2892E+03      0.2892E+03      0.2892E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.373      0.2950E+03      0.2950E+03      0.2950E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.377      0.3002E+03      0.3002E+03      0.3002E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.380      0.3055E+03      0.3055E+03      0.3055E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.384      0.3109E+03      0.3109E+03      0.3109E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.387      0.3163E+03      0.3163E+03      0.3163E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.390      0.3223E+03      0.3223E+03      0.3223E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.394      0.3279E+03      0.3279E+03      0.3279E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.397      0.3334E+03      0.3334E+03      0.3334E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.400      0.3390E+03      0.3390E+03      0.3390E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.404      0.3447E+03      0.3447E+03      0.3447E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.407      0.3509E+03      0.3509E+03      0.3509E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.410      0.3566E+03      0.3566E+03      0.3566E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.413      0.3625E+03      0.3625E+03      0.3625E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.417      0.3683E+03      0.3683E+03      0.3683E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.420      0.3748E+03      0.3748E+03      0.3748E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.423      0.3808E+03      0.3808E+03      0.3808E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.427      0.3867E+03      0.3867E+03      0.3867E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.430      0.3927E+03      0.3927E+03      0.3927E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.433      0.3994E+03      0.3994E+03      0.3994E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.437      0.4055E+03      0.4055E+03      0.4055E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.440      0.4117E+03      0.4117E+03      0.4117E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.444      0.4186E+03      0.4186E+03      0.4186E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.447      0.4248E+03      0.4248E+03      0.4248E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.450      0.4312E+03      0.4312E+03      0.4312E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.454      0.4382E+03      0.4382E+03      0.4382E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.457      0.4445E+03      0.4445E+03      0.4445E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.460      0.4511E+03      0.4511E+03      0.4511E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.464      0.4582E+03      0.4582E+03      0.4582E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.467      0.4647E+03      0.4647E+03      0.4647E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.470      0.4714E+03      0.4714E+03      0.4714E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.473      0.4786E+03      0.4786E+03      0.4786E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.477      0.4853E+03      0.4853E+03      0.4853E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.480      0.4921E+03      0.4921E+03      0.4921E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.483      0.4995E+03      0.4995E+03      0.4995E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.487      0.5063E+03      0.5063E+03      0.5063E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.490      0.5133E+03      0.5133E+03      0.5133E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.493      0.5208E+03      0.5208E+03      0.5208E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.497      0.5278E+03      0.5278E+03      0.5278E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.500      0.5356E+03      0.5356E+03      0.5356E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.503      0.5426E+03      0.5426E+03      0.5426E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.507      0.5504E+03      0.5504E+03      0.5504E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.510      0.5576E+03      0.5576E+03      0.5576E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.513      0.5648E+03      0.5648E+03      0.5648E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.517      0.5727E+03      0.5727E+03      0.5727E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.520      0.5801E+03      0.5801E+03      0.5801E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.523      0.5882E+03      0.5882E+03      0.5882E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.527      0.5955E+03      0.5955E+03      0.5955E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.530      0.6038E+03      0.6038E+03      0.6038E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.533      0.6113E+03      0.6113E+03      0.6113E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.537      0.6195E+03      0.6195E+03      0.6195E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.540      0.6272E+03      0.6272E+03      0.6272E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.543      0.6355E+03      0.6355E+03      0.6355E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.547      0.6432E+03      0.6432E+03      0.6432E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.550      0.6518E+03      0.6517E+03      0.6517E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.553      0.6595E+03      0.6595E+03      0.6595E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.557      0.6682E+03      0.6682E+03      0.6682E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.560      0.6760E+03      0.6760E+03      0.6760E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.564      0.6847E+03      0.6847E+03      0.6847E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.567      0.6935E+03      0.6935E+03      0.6935E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.570      0.7015E+03      0.7015E+03      0.7015E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.574      0.7103E+03      0.7103E+03      0.7103E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.577      0.7185E+03      0.7185E+03      0.7185E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.580      0.7274E+03      0.7274E+03      0.7274E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.584      0.7364E+03      0.7364E+03      0.7364E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.587      0.7447E+03      0.7447E+03      0.7447E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.590      0.7538E+03      0.7538E+03      0.7538E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.594      0.7629E+03      0.7629E+03      0.7629E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.597      0.7714E+03      0.7714E+03      0.7714E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.600      0.7807E+03      0.7807E+03      0.7807E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.604      0.7900E+03      0.7900E+03      0.7900E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.607      0.7986E+03      0.7986E+03      0.7986E+03      0.0000E+00      0.0000E+00      0.0000E+00
   0.610      0.8080E+03      0.8080E+03      0.8080E+03      0.0000E+00      0.0000E+00      0.0000E+00
