  #energy          xx             yy              zz              xy              yz              zx
   0.197      0.4061E-02      0.4061E-02      0.4061E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.200      0.4131E-02      0.4131E-02      0.4131E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.203      0.4201E-02      0.4201E-02      0.4201E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.207      0.4271E-02      0.4271E-02      0.4271E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.210      0.4327E-02      0.4327E-02      0.4327E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.213      0.4396E-02      0.4396E-02      0.4396E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.217      0.4466E-02      0.4466E-02      0.4466E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.220      0.4536E-02      0.4536E-02      0.4536E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.223      0.4606E-02      0.4606E-02      0.4606E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.227      0.4676E-02      0.4676E-02      0.4676E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.230      0.4745E-02      0.4745E-02      0.4745E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.233      0.4815E-02      0.4815E-02      0.4815E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.237      0.4885E-02      0.4885E-02      0.4885E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.240      0.4955E-02      0.4955E-02      0.4955E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.243      0.5025E-02      0.5025E-02      0.5025E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.247      0.5094E-02      0.5094E-02      0.5094E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.250      0.5164E-02      0.5164E-02      0.5164E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.253      0.5234E-02      0.5234E-02      0.5234E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.257      0.5303E-02      0.5303E-02      0.5303E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.260      0.5373E-02      0.5373E-02      0.5373E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.263      0.5443E-02      0.5443E-02      0.5443E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.267      0.5513E-02      0.5513E-02      0.5513E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.270      0.5596E-02      0.5596E-02      0.5596E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.273      0.5666E-02      0.5666E-02      0.5666E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.277      0.5735E-02      0.5735E-02      0.5735E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.280      0.5805E-02      0.5805E-02      0.5805E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.283      0.5875E-02      0.5875E-02      0.5875E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.287      0.5944E-02      0.5944E-02      0.5944E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.290      0.6014E-02      0.6014E-02      0.6014E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.293      0.6084E-02      0.6084E-02      0.6084E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.297      0.6153E-02      0.6153E-02      0.6153E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.300      0.6223E-02      0.6223E-02      0.6223E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.303      0.6292E-02      0.6292E-02      0.6292E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.307      0.6362E-02      0.6362E-02      0.6362E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.310      0.6431E-02      0.6431E-02      0.6431E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.313      0.6501E-02      0.6501E-02      0.6501E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.317      0.6570E-02      0.6570E-02      0.6570E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.320      0.6640E-02      0.6640E-02      0.6640E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.323      0.6723E-02      0.6723E-02      0.6723E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.327      0.6793E-02      0.6793E-02      0.6793E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.330      0.6862E-02      0.6862E-02      0.6862E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.333      0.6932E-02      0.6932E-02      0.6932E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.337      0.7001E-02      0.7001E-02      0.7001E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.340      0.7070E-02      0.7070E-02      0.7070E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.343      0.7140E-02      0.7140E-02      0.7140E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.347      0.7209E-02      0.7209E-02      0.7209E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.350      0.7293E-02      0.7293E-02      0.7293E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.353      0.7362E-02      0.7362E-02      0.7362E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.357      0.7431E-02      0.7431E-02      0.7431E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.360      0.7501E-02      0.7501E-02      0.7501E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.363      0.7570E-02      0.7570E-02      0.7570E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.367      0.7639E-02      0.7639E-02      0.7639E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.370      0.7708E-02      0.7708E-02      0.7708E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.373      0.7792E-02      0.7792E-02      0.7792E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.377      0.7861E-02      0.7861E-02      0.7861E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.380      0.7930E-02      0.7930E-02      0.7930E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.384      0.7999E-02      0.7999E-02      0.7999E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.387      0.8069E-02      0.8069E-02      0.8069E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.390      0.8152E-02      0.8152E-02      0.8152E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.394      0.8221E-02      0.8221E-02      0.8221E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.397      0.8290E-02      0.8290E-02      0.8290E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.400      0.8359E-02      0.8359E-02      0.8359E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.404      0.8428E-02      0.8428E-02      0.8428E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.407      0.8511E-02      0.8511E-02      0.8511E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.410      0.8580E-02      0.8580E-02      0.8580E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.413      0.8649E-02      0.8649E-02      0.8649E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.417      0.8718E-02      0.8718E-02      0.8718E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.420      0.8801E-02      0.8801E-02      0.8801E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.423      0.8870E-02      0.8870E-02      0.8870E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.427      0.8939E-02      0.8939E-02      0.8939E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.430      0.9008E-02      0.9008E-02      0.9008E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.433      0.9091E-02      0.9091E-02      0.9091E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.437      0.9160E-02      0.9160E-02      0.9160E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.440      0.9229E-02      0.9229E-02      0.9229E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.444      0.9312E-02      0.9312E-02      0.9312E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.447      0.9381E-02      0.9381E-02      0.9381E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.450      0.9450E-02      0.9450E-02      0.9450E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.454      0.9533E-02      0.9533E-02      0.9533E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.457      0.9601E-02      0.9601E-02      0.9601E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.460      0.9670E-02      0.9670E-02      0.9670E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.464      0.9753E-02      0.9753E-02      0.9753E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.467      0.9822E-02      0.9822E-02      0.9822E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.470      0.9891E-02      0.9891E-02      0.9891E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.473      0.9973E-02      0.9973E-02      0.9973E-02      0.0000E+00      0.0000E+00      0.0000E+00
   0.477      0.1004E-01      0.1004E-01      0.1004E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.480      0.1011E-01      0.1011E-01      0.1011E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.483      0.1019E-01      0.1019E-01      0.1019E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.487      0.1026E-01      0.1026E-01      0.1026E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.490      0.1033E-01      0.1033E-01      0.1033E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.493      0.1041E-01      0.1041E-01      0.1041E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.497      0.1048E-01      0.1048E-01      0.1048E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.500      0.1056E-01      0.1056E-01      0.1056E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.503      0.1063E-01      0.1063E-01      0.1063E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.507      0.1072E-01      0.1072E-01      0.1072E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.510      0.1078E-01      0.1078E-01      0.1078E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.513      0.1085E-01      0.1085E-01      0.1085E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.517      0.1093E-01      0.1093E-01      0.1093E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.520      0.1100E-01      0.1100E-01      0.1100E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.523      0.1109E-01      0.1109E-01      0.1109E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.527      0.1115E-01      0.1115E-01      0.1115E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.530      0.1124E-01      0.1124E-01      0.1124E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.533      0.1130E-01      0.1130E-01      0.1130E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.537      0.1139E-01      0.1139E-01      0.1139E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.540      0.1145E-01      0.1145E-01      0.1145E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.543      0.1154E-01      0.1154E-01      0.1154E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.547      0.1161E-01      0.1161E-01      0.1161E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.550      0.1169E-01      0.1169E-01      0.1169E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.553      0.1176E-01      0.1176E-01      0.1176E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.557      0.1184E-01      0.1184E-01      0.1184E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.560      0.1191E-01      0.1191E-01      0.1191E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.564      0.1199E-01      0.1199E-01      0.1199E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.567      0.1207E-01      0.1207E-01      0.1207E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.570      0.1214E-01      0.1214E-01      0.1214E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.574      0.1222E-01      0.1222E-01      0.1222E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.577      0.1229E-01      0.1229E-01      0.1229E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.580      0.1237E-01      0.1237E-01      0.1237E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.584      0.1245E-01      0.1245E-01      0.1245E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.587      0.1252E-01      0.1252E-01      0.1252E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.590      0.1260E-01      0.1260E-01      0.1260E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.594      0.1268E-01      0.1268E-01      0.1268E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.597      0.1275E-01      0.1275E-01      0.1275E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.600      0.1283E-01      0.1283E-01      0.1283E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.604      0.1291E-01      0.1291E-01      0.1291E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.607      0.1298E-01      0.1298E-01      0.1298E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.610      0.1306E-01      0.1306E-01      0.1306E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.614      0.1315E-01      0.1315E-01      0.1315E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.617      0.1321E-01      0.1321E-01      0.1321E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.620      0.1329E-01      0.1329E-01      0.1329E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.624      0.1338E-01      0.1338E-01      0.1338E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.627      0.1346E-01      0.1346E-01      0.1346E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.630      0.1353E-01      0.1353E-01      0.1353E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.633      0.1361E-01      0.1361E-01      0.1361E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.637      0.1369E-01      0.1369E-01      0.1369E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.640      0.1377E-01      0.1377E-01      0.1377E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.643      0.1384E-01      0.1384E-01      0.1384E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.647      0.1392E-01      0.1392E-01      0.1392E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.650      0.1400E-01      0.1400E-01      0.1400E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.654      0.1408E-01      0.1408E-01      0.1408E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.657      0.1416E-01      0.1416E-01      0.1416E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.660      0.1424E-01      0.1424E-01      0.1424E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.664      0.1431E-01      0.1431E-01      0.1431E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.667      0.1439E-01      0.1439E-01      0.1439E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.670      0.1447E-01      0.1447E-01      0.1447E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.674      0.1455E-01      0.1455E-01      0.1455E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.677      0.1464E-01      0.1464E-01      0.1464E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.680      0.1472E-01      0.1472E-01      0.1472E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.684      0.1480E-01      0.1480E-01      0.1480E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.687      0.1488E-01      0.1488E-01      0.1488E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.690      0.1496E-01      0.1496E-01      0.1496E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.694      0.1504E-01      0.1504E-01      0.1504E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.697      0.1512E-01      0.1512E-01      0.1512E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.700      0.1520E-01      0.1520E-01      0.1520E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.704      0.1528E-01      0.1528E-01      0.1528E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.707      0.1536E-01      0.1536E-01      0.1536E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.710      0.1544E-01      0.1544E-01      0.1544E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.714      0.1552E-01      0.1552E-01      0.1552E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.717      0.1561E-01      0.1561E-01      0.1561E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.720      0.1569E-01      0.1569E-01      0.1569E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.724      0.1577E-01      0.1577E-01      0.1577E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.727      0.1585E-01      0.1585E-01      0.1585E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.730      0.1593E-01      0.1593E-01      0.1593E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.734      0.1601E-01      0.1601E-01      0.1601E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.737      0.1609E-01      0.1609E-01      0.1609E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.740      0.1617E-01      0.1617E-01      0.1617E-01      0.0000E+00      0.0000E+00      0.0000E+00
   0.744      0.1625E-01      0.1625E-01      0.1625E-01      0.0000E+00      0.0000E+00      0.0000E+00
