  #energy          xx             yy              zz              xy              yz              zx
   0.197      0.3163E+00      0.3163E+00      0.3163E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.200      0.3163E+00      0.3163E+00      0.3163E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.203      0.3163E+00      0.3163E+00      0.3163E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.207      0.3163E+00      0.3163E+00      0.3163E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.210      0.3163E+00      0.3163E+00      0.3163E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.213      0.3164E+00      0.3164E+00      0.3164E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.217      0.3164E+00      0.3164E+00      0.3164E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.220      0.3164E+00      0.3164E+00      0.3164E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.223      0.3164E+00      0.3164E+00      0.3164E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.227      0.3164E+00      0.3164E+00      0.3164E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.230      0.3164E+00      0.3164E+00      0.3164E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.233      0.3165E+00      0.3165E+00      0.3165E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.237      0.3165E+00      0.3165E+00      0.3165E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.240      0.3165E+00      0.3165E+00      0.3165E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.243      0.3165E+00      0.3165E+00      0.3165E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.247      0.3165E+00      0.3165E+00      0.3165E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.250      0.3166E+00      0.3166E+00      0.3166E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.253      0.3166E+00      0.3166E+00      0.3166E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.257      0.3166E+00      0.3166E+00      0.3166E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.260      0.3166E+00      0.3166E+00      0.3166E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.263      0.3166E+00      0.3166E+00      0.3166E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.267      0.3167E+00      0.3167E+00      0.3167E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.270      0.3167E+00      0.3167E+00      0.3167E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.273      0.3167E+00      0.3167E+00      0.3167E+00      0.1000E+01      0.1000E+01      0.1000E+01
   0.277      0.3167E+00      0.3167E+00      0.3167E+00      0.1000E+01      0.1000E+01      0.1000E+01
