  #energy          xx             yy              zz              xy              yz              zx
   0.257      0.2325E-03      0.2325E-03      0.2325E-03             NaN             NaN             NaN
   0.260      0.2355E-03      0.2355E-03      0.2355E-03             NaN             NaN             NaN
   0.263      0.2385E-03      0.2385E-03      0.2385E-03             NaN             NaN             NaN
   0.267      0.2416E-03      0.2416E-03      0.2416E-03             NaN             NaN             NaN
   0.270      0.2452E-03      0.2452E-03      0.2452E-03             NaN             NaN             NaN
   0.273      0.2482E-03      0.2482E-03      0.2482E-03             NaN             NaN             NaN
   0.277      0.2512E-03      0.2512E-03      0.2512E-03             NaN             NaN             NaN
   0.280      0.2542E-03      0.2542E-03      0.2542E-03             NaN             NaN             NaN
   0.283      0.2572E-03      0.2572E-03      0.2572E-03             NaN             NaN             NaN
   0.287      0.2602E-03      0.2602E-03      0.2602E-03             NaN             NaN             NaN
   0.290      0.2632E-03      0.2632E-03      0.2632E-03             NaN             NaN             NaN
   0.293      0.2662E-03      0.2662E-03      0.2662E-03             NaN             NaN             NaN
   0.297      0.2692E-03      0.2692E-03      0.2692E-03             NaN             NaN             NaN
   0.300      0.2722E-03      0.2722E-03      0.2722E-03             NaN             NaN             NaN
   0.303      0.2752E-03      0.2752E-03      0.2752E-03             NaN             NaN             NaN
   0.307      0.2782E-03      0.2782E-03      0.2782E-03             NaN             NaN             NaN
   0.310      0.2812E-03      0.2812E-03      0.2812E-03             NaN             NaN             NaN
   0.313      0.2842E-03      0.2842E-03      0.2842E-03             NaN             NaN             NaN
   0.317      0.2872E-03      0.2872E-03      0.2872E-03             NaN             NaN             NaN
   0.320      0.2902E-03      0.2902E-03      0.2902E-03             NaN             NaN             NaN
   0.323      0.2938E-03      0.2938E-03      0.2938E-03             NaN             NaN             NaN
   0.327      0.2967E-03      0.2967E-03      0.2967E-03             NaN             NaN             NaN
   0.330      0.2997E-03      0.2997E-03      0.2997E-03             NaN             NaN             NaN
   0.333      0.3027E-03      0.3027E-03      0.3027E-03             NaN             NaN             NaN
   0.337      0.3057E-03      0.3057E-03      0.3057E-03             NaN             NaN             NaN
   0.340      0.3086E-03      0.3086E-03      0.3086E-03             NaN             NaN             NaN
   0.343      0.3116E-03      0.3116E-03      0.3116E-03             NaN             NaN             NaN
   0.347      0.3146E-03      0.3146E-03      0.3146E-03             NaN             NaN             NaN
   0.350      0.3181E-03      0.3181E-03      0.3181E-03             NaN             NaN             NaN
   0.353      0.3211E-03      0.3211E-03      0.3211E-03             NaN             NaN             NaN
   0.357      0.3241E-03      0.3241E-03      0.3241E-03             NaN             NaN             NaN
   0.360      0.3270E-03      0.3270E-03      0.3270E-03             NaN             NaN             NaN
   0.363      0.3300E-03      0.3300E-03      0.3300E-03             NaN             NaN             NaN
   0.367      0.3329E-03      0.3329E-03      0.3329E-03             NaN             NaN             NaN
