#K-Path  Band-1   Band-2   Band-3   Band-4      ...   Band-n
  0.58  -21.648  -16.943  -16.943  -16.907  -16.907  -16.907  -11.832  -11.813  -11.800   -8.504   -8.435   -8.435   -8.434   -2.242   -2.219   -2.212   -1.742   -1.627   -1.001   -0.996   -0.965   -0.484    1.291    1.513    1.569    3.843    4.802    4.817    4.834    5.791    5.859    7.035    7.107    7.233    7.362    7.419
  0.62  -21.648  -16.943  -16.943  -16.907  -16.907  -16.907  -11.821  -11.812  -11.807   -8.533   -8.436   -8.436   -8.435   -2.239   -2.229   -2.225   -1.643   -1.588   -0.974   -0.969   -0.955   -0.373    1.261    1.364    1.397    3.798    4.785    4.792    4.799    5.824    5.852    7.139    7.166    7.312    7.330    7.438
  0.66  -21.648  -16.943  -16.942  -16.907  -16.907  -16.907  -11.814  -11.812  -11.811   -8.551   -8.436   -8.436   -8.436   -2.237   -2.235   -2.234   -1.579   -1.565   -0.954   -0.952   -0.949   -0.289    1.241    1.268    1.278    3.770    4.774    4.776    4.778    5.842    5.849    7.229    7.234    7.283    7.388    7.425
  0.69  -21.648  -16.942  -16.942  -16.907  -16.907  -16.907  -11.812  -11.812  -11.812   -8.558   -8.436   -8.436   -8.436   -2.237   -2.237   -2.237   -1.558   -1.558   -0.947   -0.947   -0.947   -0.257    1.235    1.235    1.235    3.761    4.771    4.771    4.771    5.848    5.848    7.272    7.272    7.273    7.407    7.407
  0.69  -21.648  -16.942  -16.942  -16.907  -16.907  -16.907  -11.812  -11.812  -11.812   -8.558   -8.436   -8.436   -8.436   -2.237   -2.237   -2.237   -1.558   -1.558   -0.947   -0.947   -0.947   -0.257    1.235    1.235    1.235    3.761    4.771    4.771    4.771    5.848    5.848    7.272    7.272    7.273    7.407    7.407
  0.72  -21.648  -16.942  -16.942  -16.907  -16.907  -16.907  -11.813  -11.812  -11.812   -8.555   -8.436   -8.436   -8.436   -2.238   -2.235   -2.235   -1.572   -1.558   -0.950   -0.950   -0.947   -0.273    1.238    1.238    1.270    3.765    4.773    4.773    4.773    5.843    5.850    7.250    7.250    7.276    7.404    7.418
  0.74  -21.648  -16.943  -16.942  -16.907  -16.907  -16.907  -11.814  -11.812  -11.812   -8.545   -8.436   -8.436   -8.436   -2.240   -2.231   -2.231   -1.616   -1.558   -0.962   -0.962   -0.947   -0.315    1.248    1.248    1.369    3.780    4.781    4.781    4.782    5.830    5.856    7.199    7.200    7.290    7.395    7.434
  0.77  -21.648  -16.943  -16.942  -16.907  -16.907  -16.907  -11.816  -11.812  -11.812   -8.530   -8.436   -8.436   -8.435   -2.244   -2.223   -2.223   -1.687   -1.558   -0.980   -0.980   -0.947   -0.370    1.263    1.263    1.518    3.803    4.795    4.795    4.796    5.808    5.867    7.137    7.137    7.306    7.378    7.438
  0.80  -21.648  -16.943  -16.942  -16.907  -16.907  -16.907  -11.819  -11.813  -11.813   -8.510   -8.435   -8.435   -8.434   -2.250   -2.213   -2.213   -1.782   -1.558   -1.004   -1.004   -0.948   -0.426    1.284    1.284    1.702    3.837    4.813    4.813    4.814    5.780    5.881    7.072    7.072    7.337    7.350    7.424
  0.82  -21.648  -16.944  -16.942  -16.907  -16.907  -16.907  -11.823  -11.813  -11.813   -8.484   -8.434   -8.434   -8.433   -2.257   -2.199   -2.199   -1.899   -1.559   -1.035   -1.035   -0.949   -0.477    1.310    1.310    1.910    3.878    4.838    4.838    4.838    5.747    5.898    7.006    7.006    7.307    7.374    7.391
  0.85  -21.648  -16.945  -16.942  -16.907  -16.907  -16.907  -11.827  -11.813  -11.813   -8.454   -8.434   -8.434   -8.432   -2.266   -2.183   -2.183   -2.030   -1.559   -1.071   -1.071   -0.949   -0.519    1.339    1.339    2.134    3.929    4.866    4.867    4.867    5.710    5.919    6.942    6.942    7.249    7.341    7.343
